Rank	Title	Studio	Director	Worldwide Gross
1.	Jurassic Park	Universal Studios / Amblin Entertainment	Steven Spielberg	$914,691,118
2.	Mrs. Doubtfire	20th Century Fox	Chris Columbus	$441,286,195
3.	The Fugitive	Warner Bros.	Andrew Davis	$368,875,760
4.	Schindler's List	Universal Pictures	Steven Spielberg	$321,306,305
5.	The Firm	Paramount Pictures	Sydney Pollack	$270,248,367
6.	Indecent Proposal	Paramount Pictures	Adrian Lyne	$266,614,059
7.	Cliffhanger	TriStar Pictures	Renny Harlin	$255,000,211
8.	Sleepless in Seattle	TriStar Pictures	Nora Ephron	$227,799,884
9.	Philadelphia	TriStar Pictures	Jonathan Demme	$206,678,440
10.	The Pelican Brief	Warner Bros.	Alan J. Pakula	$195,268,056
11.	In the Line of Fire	Columbia Pictures	Wolfgang Petersen	$187,343,874
12.	Cool Runnings	Buena Vista	Jon Turteltaub	$154,856,263
13.	Free Willy	Warner Bros.	Simon Wincer	$153,698,625
14.	Sommersby	Warner Bros.	Jon Amiel	$140,081,992
15.	Last Action Hero	Columbia Pictures	John McTiernan	$137,298,489
16.	A Perfect World	Warner Bros.	Clint Eastwood	$135,130,999
17.	Hot Shots! Part Deux	20th Century Fox	Jim Abrahams	$133,752,825
18.	Beethoven's 2nd	Universal Studios	Rod Daniel	$118,243,066
19.	Dennis the Menace	Warner Bros.	Nick Castle	$117,270,765
20.	Sliver	Paramount Pictures	Phillip Noyce	$116,300,000
