Date	Visitor	Score	Home	Attendance	Record	Points
November 1	Montreal	7–1	Pittsburgh	10,472	5–6–0	10
November 2	Pittsburgh	2–4	Philadelphia	13,511	5–7–0	10
November 4	NY Rangers	4–6	Pittsburgh	12,255	6–7–0	12
November 5	Pittsburgh	1–1	Detroit	14,041	6–7–1	13
November 8	Philadelphia	2–5	Pittsburgh	7,449	7–7–1	15
November 11	Vancouver	4–3	Pittsburgh	11,896	7–8–1	15
November 12	Pittsburgh	0–1	Buffalo	15,668	7–9–1	15
November 15	Minnesota	1–7	Pittsburgh	8,649	8–9–1	17
November 18	Atlanta	1–6	Pittsburgh	10,959	9–9–1	19
November 19	Pittsburgh	5–3	NY Rangers	17,500	10–9–1	21
November 22	St. Louis	4–10	Pittsburgh	12,405	11–9–1	23
November 25	NY Islanders	2–2	Pittsburgh	12,319	11–9–2	24
November 26	Pittsburgh	2–6	Atlanta	9,041	11–10–2	24
November 29	Toronto	4–7	Pittsburgh	9,971	12–10–2	26
