Game	Date	Opponent	Result	Falcons points	Opponents	Record	Attendance
1	Sept. 3	Houston Oilers	Win	20	14	1-0	57328
2	Sept. 10	at Los Angeles Rams	Loss	0	10	1-1	46201
3	Sept. 17	Cleveland Browns	Loss	16	24	1-2	56648
4	Sept. 24	at Tampa Bay Buccaneers	Loss	9	14	1-3	58073
5	Oct. 1	New York Giants	Win	23	20	2-3	47765
6	Oct. 8	at Pittsburgh Steelers	Loss	7	31	2-4	48202
7	Oct. 15	Detroit Lions	Win	14	0	3-4	51172
8	Oct. 22	at San Francisco 49ers	Win	20	17	4-4	44235
9	Oct. 30	Los Angeles Rams	Win	15	7	5-4	57250
10	Nov. 5	San Francisco 49ers	Win	21	10	6-4	55468
11	Nov. 12	at New Orleans Saints	Win	20	17	7-4	70323
12	Nov. 19	at Chicago Bears	Loss	7	13	7-5	46022
13	Nov. 26	New Orleans Saints	Win	20	17	8-5	55121
14	Dec. 3	at Cincinnati Bengals	Loss	7	37	8-6	25336
15	Dec. 10	Washington Redskins	Win	20	17	9-6	54176
