Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Kowsar	Reza Ahadi	Sacked	2009	Mostafa Ghanbarpour	2009
Shensa Arak	Castro Felore	Sacked	Oct 2009	Savio Souza	20 Oct 2009
Kowsar	Mostafa Ghanbarpour	Sacked	Nov 2009	Ebrahim Talebi	Nov 2009
Shirin Faraz	Mahmoud Fekri	Sacked	Dec 2009	Estehghari / Mortazavi	Dec 2009
Payam Mokhaberat	Mehrdad Shekari	Sacked	Dec 2009	Jafar Fatahi	Dec 2009
Iranjavan	Naser Ebrahimi	Abdicate	Dec 2009	Abdolrahim Kharazmi	Dec 2009
Sanat Naft	Bijan Zolfagharnasab	Abdicate	1 Jan 2010	Faraz Kamalvand	1 Jan 2010
Gostaresh Foolad	Hossein Khatibi	Abdicate	20 Mar 2010	Farhad Kazemi	20 Mar 2010
Nassaji Mazandaran	Nader Dastneshan	Abdicate	20 Mar 2010	Reza Foruzani	24 Mar 2010
Payam Mashhad	Ali Hanteh	Abdicate	12 Mar 2010	Davoud Mahabadi	19 Mar 2010
Sanati Kaveh	Ahmad Khodadad	Abdicate	5 Mar 2010	Hossein Fekri	7 Mar 2010
Mehrkam Pars	Behtash Fariba	Abdicate	15 Mar 2010	Javad Zarincheh	17 Mar 2010
Naft Tehran	Mehdi Dinvarzadeh	Abdicate	20 May 2010	Morteza Yeke	23 May 2010
