Rank	Island	Area (km²)	Area (sq mi)	Country/Countries/Region
132	Hisingen	199	77	Sweden
133	Tysnesøy	198	77	Norway
134	Hailuoto	195	75	Finland
135	Tinos	195	75	Greece
136	Paros	194	74	Greece
137	Bruce Island	191	73	Russia
138	Kongsøya	191	73	Svalbard , Norway
139	Oléron	190	73	France
140	Tjeldøya	187	72	Norway
141	Moskenesøya	186	72	Norway
142	Fehmarn	185	71	Germany
143	Värmdön	181	70	Sweden
144	Bear Island ( Bjørnøya )	178	69	Svalbard , Norway
145	Samothrace	178	69	Greece
146	Karmøy	177	68	Norway
147	Sotra	176	68	Norway
148	Vágar	176	68	Faroe Islands , an autonomous region of Denmark
149	Faial Island	173	67	Portugal
150	Bømlo	171	66	Norway
151	Texel	170	66	Netherlands
152	Hareidlandet	166	64	Norway
153	Averøy	165	64	Norway
154	Nansen Island	164	63	Russia
155	Suðuroy	163	63	Faroe Islands , an autonomous region of Denmark
156	Vega, Norway	163	63	Norway
157	Payer Island	160	62	Russia
158	Replot ( Raippaluoto )	160	62	Finland
159	Bremangerlandet	153	59	Norway
160	Alsten	153	59	Norway
161	Milos	151	58	Greece
162	Achill	148	57	Ireland
163	Tjörn	148	57	Sweden
164	Frøya	147	57	Norway
165	Reinøya	147	57	Norway
166	Flores Island	143	55	Portugal
167	Hoy	143	55	United Kingdom
168	Otterøy	143	55	Norway
169	Ertvågsøy	140	54	Norway
170	Rainer Island	140	54	Russia
171	Gurskøy	139	53	Norway
172	Svenskøya	137	53	Svalbard , Norway
173	Andørja	135	52	Norway
174	Dønna	135	52	Norway
175	Föglö	132	52	Åland an autonomous region of Finland
176	Heiss Island	132	52	Russia
177	Kea	131	51	Greece
178	Skogerøya	129	50	Norway
179	Rømø	129	50	Denmark
180	Greely Island	127	49	Russia
181	Sandoy	125	48	Faroe Islands , an autonomous region of Denmark
182	Bute	122	47	United Kingdom
183	Amorgos	121	47	Greece
184	Unst	121	47	United Kingdom
185	Wilhelmøya	120	47	Svalbard , Norway
186	Jersey	119	45	Jersey , British Crown dependency
187	Læsø	116	45	Denmark
188	Sula, Sogn og Fjordane	116	45	Norway
189	Dugi Otok	114	44	Croatia
190	Samsø	114	44	Denmark
191	Fårö	113	44	Sweden
192	Marmara Island	113	44	Turkey
193	Arthur Island	111	43	Russia
194	Kalymnos	111	43	Greece
195	Flakstadøya	110	42	Norway
196	Morzhovets Island	110	42	Russia
197	Grytøya	108	41	Norway
198	Ios	108	41	Greece
199	Sant'Antioco	108	41	Italy
200	Rolla (Troms)	107	41	Norway
201	Otava	105	40	Finland
202	Rùm	105	40	United Kingdom
203	Lågøya	104	40	Svalbard , Norway
204	Brändö	103	40	Åland an autonomous region of Finland
205	Radøy	103	40	Norway
206	Sandhornøya	103	40	Norway
207	Hadseløya	102	39	Norway
208	Vårdö	102	39	Åland an autonomous region of Finland
