Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	8-3	Rodney Wallace	Decision (unanimous)	Scrap Live 7: Bad Intentions	3	5:00	Winston-Salem, North Carolina , United States
Win	8-2	Clint Hester	Submission (north-south choke)	Wild Bill's Fight Night 31	3	1:18	Duluth, Georgia , United States
Loss	7-2	Francisco France	Submission (arm-triangle choke)	Fight Me MMA 1: The Battle Begins	2	N/A	St. Charles, Missouri , United States
Win	7-1	Josh Schockman	TKO (knee and punches)	Strikeforce: Nashville	2	N/A	Nashville, Tennessee , United States
Win	6-1	Bernard Rutherford	Submission (guillotine choke)	Sin City Fight Club: RedLine Grand Prix Round 2	2	4:31	Atlanta, Georgia , United States
Win	5-1	Kevin Brooks	TKO (cut)	Clash of the Kings	1	1:45	Kennesaw, Georgia , United States
Win	4-1	Brett Chism	Decision (unanimous)	Wild Bill's Fight Night 21	3	5:00	Duluth, Georgia , United States
Win	3-1	Justin Hall	KO (punch)	KOTC: Invincible	2	1:14	Atlanta, Georgia , United States
Win	2-1	Devon Plaisance	TKO (punches)	Battle of Rome VI	1	2:04	Rome, Georgia , United States
Win	1-1	Anthony Mckee	TKO (corner stoppage)	Full Throttle 4	1	3:00	Duluth, Georgia , United States
Loss	0-1	Tim Credeur	TKO (punches)	UFC: Silva vs. Irvin	1	1:54	Las Vegas, Nevada , United States
