Name	Club	Debut round	Games (2008)	Goals (2008)	Previous club(s)
Stuart Dew Category:Articles with hCards	Hawthorn	1	15	7	Port Adelaide (1997–2006)
Charlie Gardiner Category:Articles with hCards	St Kilda	1	12	9	Geelong (2002–07)
Michael Gardiner Category:Articles with hCards	St Kilda	1	9	1	West Coast (1997–2006)
Richard Hadley Category:Articles with hCards	Carlton	1	6	2	Brisbane Lions (2001–07)
Ben Hudson Category:Articles with hCards	Western Bulldogs	1	23	2	Adelaide (2004–07)
Mark Johnson Category:Articles with hCards	Fremantle	1	14	8	Essendon (1999–2007)
Travis Johnstone Category:Articles with hCards	Brisbane Lions	1	18	17	Melbourne (1998–2007)
Chris Judd Category:Articles with hCards	Carlton	1	21	15	West Coast (2002–07)
Steven King Category:Articles with hCards	St Kilda	1	22	5	Geelong (1996–2007)
Martin Mattner Category:Articles with hCards	Sydney	1	24	4	Adelaide (2002–07)
Jordan McMahon Category:Articles with hCards	Richmond	1	22	6	Western Bulldogs (2001–07)
Sam Power Category:Articles with hCards	North Melbourne	1	22	2	Western Bulldogs (2002–07)
Adam Schneider Category:Articles with hCards	St Kilda	1	19	28	Sydney (2003–07)
Brad Symes Category:Articles with hCards	Adelaide	1	16	2	Port Adelaide (2004–07)
Scott Welsh Category:Articles with hCards	Western Bulldogs	1	24	43	North Melbourne (1996–99) Adelaide (2000–07)
Cameron Wood Category:Articles with hCards	Collingwood	1	13	6	Brisbane Lions (2005–07)
Tim Callan Category:Articles with hCards	Western Bulldogs	2	15	1	Geelong (2003–06)
Mitch Morton Category:Articles with hCards	Richmond	3	17	35	West Coast (2005–07)
Sean Dempster Category:Articles with hCards	St Kilda	4	19	3	Sydney (2005–07)
Josh Kennedy Category:Articles with hCards	West Coast	6	7	7	Carlton (2006–07)
Henry Playfair Category:Articles with hCards	Sydney	7	11	10	Geelong (2003–07)
Kepler Bradley Category:Articles with hCards	Fremantle	8	9	12	Essendon (2004–07)
Benjamin Davies Category:Articles with hCards	North Melbourne	11	2	0	Collingwood (2005–06)
Brad Moran Category:Articles with hCards	Adelaide	16	7	6	North Melbourne (2006–07)
Tristan Cartledge Category:Articles with hCards †	Richmond	20	2	1	Essendon (2005–06)
