Name	Latitude	Longitude	Diameter (km)	Year named
Adrasthea Tesserae	30.0N	55.0E	750.0	1997
Ananke Tessera	53.3N	137.0E	1,060.0	1985
Athena Tessera	35.0N	175.0E	1,800.0	1997
Atropos Tessera	71.5N	304.0E	469.0	1985
Bathkol Tessera	61.0N	200.0E	1,485.0	1997
Chimon-mana Tessera	3.0S	270.0E	1,500.0	1997
Clidna Tessera	42.0S	29.0E	500.0	1997
Clotho Tessera	56.4N	334.9E	289.0	1985
Cocomama Tessera	62.0S	23.0E	1,600.0	1997
Dekla Tessera	57.4N	71.8E	1,363.0	1985
Dolya Tessera	8.0S	296.0E	1,100.0	1997
Dou-Mu Tesserae	60.0S	244.0E	400.0	1997
Fortuna Tessera	69.9N	45.1E	2,801.0	1985
Gbadu Tessera	1.0S	38.0E	700.0	1997
Gegute Tessera	17.0N	121.0E	1,600.0	1997
Giltine Tesserae	39.0S	250.0E	300.0	1997
Haasttse-baad Tessera	6.0N	127.0E	2,600.0	1997
Hikuleo Tesserae	42.0S	54.0E	1,400.0	1997
Humai Tessera	53.0S	250.0E	350.0	1997
Husbishag Tesserae	28.0S	101.0E	1,100.0	1997
Itzpapalotl Tessera	75.7N	317.6E	380.0	1985
Kruchina Tesserae	36.0N	27.0E	1,000.0	1997
Kutue Tessera	39.5N	108.8E	653.0	1985
Lachesis Tessera	44.4N	300.1E	664.0	1985
Lahevhev Tesserae	29.0N	189.0E	1,300.0	1997
Laima Tessera	55.0N	48.5E	971.0	1985
Lhamo Tessera	51.0S	15.0E	800.0	1997
Likho Tesserae	40.0N	134.0E	1,200.0	1997
Mafdet Tessera	9.2N	38.5E	370.0	2003
Mago-Halmi Tesserae	70.0N	157.0E	400.0	1997
Magu Tessera	52.0S	305.0E	300.0	1997
Mamitu Tesserae	22.0N	44.0E	900.0	1997
Manatum Tessera	4.0S	64.0E	3,800.0	1997
Manzan-Gurme Tesserae	39.0N	359.5E	1,354.0	1985
Meni Tessera	48.1N	77.9E	454.0	1985
Meskhent Tessera	65.8N	103.1E	1,056.0	1985
Minu-Anni Tessera	20.0S	30.0E	1,300.0	1997
Moira Tessera	58.7N	310.5E	361.0	1985
Nedolya Tesserae	5.0N	294.0E	1,200.0	1997
Nemesis Tesserae	40.0N	181.0E	355.0	1985
Norna Tesserae	50.0S	263.0E	700.0	1997
Nortia Tesserae	49.0S	160.0E	650.0	1997
Nuahine Tessera	9.0S	157.0E	1,000.0	1997
Oddibjord Tessera	82.0N	85.0E	900.0	1997
Pasom-mana Tesserae	33.0S	49.0E	1,200.0	1997
Salus Tessera	1.5S	48.5E	850.0	1997
Senectus Tesserae	50.0N	292.0E	1,400.0	1997
Shait Tessera	54.0S	173.5E	220.0	1997
Shimti Tessera	31.9N	97.7E	1,275.0	1985
Snotra Tesserae	24.0N	134.0E	1,000.0	1997
Sopdet Tesserae	45.0S	243.0E	500.0	1997
Sudenitsa Tesserae	33.0N	270.0E	4,200.0	1997
Sudice Tessera	37.0S	112.0E	500.0	1997
Tellus Tessera	42.6N	76.8E	2,329.0	1982
Tushita Tesserae	42.0S	54.0E	1,400.0	2000
Tyche Tessera	44.0S	14.5E	575.0	1997
Urd Tessera	40.0S	174.5E	250.0	1997
Ustrecha Tesserae	43.0S	265.0E	450.0	1997
Vako-nana Tesserae	27.0N	40.0E	1,200.0	1997
Verpeja Tesserae	58.0S	160.0E	600.0	1997
Virilis Tesserae	56.1N	239.7E	782.0	1985
Xi Wang-mu Tessera	30.0S	62.0E	1,300.0	1997
Yuki-Onne Tessera	39.0N	261.0E	1,200.0	1997
Zirka Tessera	33.0N	300.0E	450.0	1997
