Type	Suffix	Valency change	Example	Meaning
Simple	-a	0	-qeta	finish
Passive	-wa	–1	-qetwa	be finished
Passive	-uwa	–1	-qetuwa	be finished
Neutro-active	-ahala	intr.	-qetahala	finishable
Neutro-passive	-eha	intr.	-qeteha	finishable
Applied	-ela	+1	-qetela	finished for
Causative	-isa	+1	-qetisa	cause to finish
Intensive	-isisa	0	-qetisisa	finish intensely
Perfective	-ella	0	-qetella	finish completely
Reciprocal	-ana	–1	-qetana	finish each other
Associative	-ahana	–1	-qetahana	(be finished together)
Reversive	-olla	0	-qetolla	unfinish
Augmentative	-olla	0	-qetolla	(finish extensively)
Extensive	-aka	0	-qetaka	(finish repeatedly and extensively)
Diminutive	(see text)	0	-qeta-qeta	finish a little
Positional (dead)	-ama	0	( -tsorama )	(squat)
Stative extensive (dead)	-ala	0	( -robala )	(sleep)
Contactive (dead)	-ara	0	( -fupara )	(clench the hand)
