Date	Course	Distance	Winner	Race Leader
19 May	Milan to Turin	km (mi)	Francesco Camusso ( ITA )	Francesco Camusso ( ITA )
20 May	Turin to Genoa	km (mi)	Learco Guerra ( ITA )	Francesco Camusso ( ITA )
21 May	Rest day	Rest day	Rest day	Rest day
22 May	Genoa to Livorno	km (mi)	Learco Guerra ( ITA )	Francesco Camusso ( ITA )
23 May	Livorno to Pisa	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
24 May	Pisa to Rome	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
25 May	Rest day	Rest day	Rest day	Rest day
26 May	Rome to Naples	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
27 May	Naples to Bari	km (mi)	Adriano Vignoli ( ITA )	Learco Guerra ( ITA )
28 May	Rest day	Rest day	Rest day	Rest day
29 May	Bari to Campobasso	km (mi)	Félicien Vervaecke ( BEL )	Giuseppe Olmo ( ITA )
30 May	Campobasso to Teramo	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
31 May	Teramo to Ancona	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
1 June	Rest day	Rest day	Rest day	Rest day
2 June	Ancona to Rimini	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
3 June	Rimini to Florence	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
4 June	Florence to Bologna	km (mi)	Giuseppe Olmo ( ITA )	Francesco Camusso ( ITA )
5 June	Rest day	Rest day	Rest day	Rest day
6 June	Bologna to Ferrara	km (mi)	Learco Guerra ( ITA )	Learco Guerra ( ITA )
7 June	Ferrara to Trieste	km (mi)	Fabio Battesini ( ITA )	Learco Guerra ( ITA )
8 June	Trieste to Bassano del Grappa	km (mi)	Giuseppe Olmo ( ITA )	Learco Guerra ( ITA )
9 June	Rest day	Rest day	Rest day	Rest day
10 June	Bassano to Milan	km (mi)	Giuseppe Olmo ( ITA )	Learco Guerra ( ITA )
Total	km (mi)	km (mi)	km (mi)	km (mi)
