Week	Date	Opponent	Result	Channel	Attendance
1	September 3, 2000	Arizona Cardinals	W 21–16	FOX 4:15	77,434
2	September 10, 2000	at Philadelphia Eagles	W 33–18	FOX 4:15	65,530
3	September 17, 2000	at Chicago Bears	W 14–7	FOX 1:00	66,944
4	September 24, 2000	Washington Redskins	L 6–16	FOX 4:15	78,216
5	October 1, 2000	at Tennessee Titans	L 14–28	FOX 1:00	68,341
6	October 8, 2000	at Atlanta Falcons	W 13–6	FOX 1:00	50,947
7	October 15, 2000	Dallas Cowboys	W 19–14	FOX 1:00	78,189
8	Bye	Bye	Bye	Bye	Bye
9	October 29, 2000	Philadelphia Eagles	W 24–7	FOX 4:05	78,087
10	November 5, 2000	at Cleveland Browns	W 24–3	FOX 1:00	72,718
11	November 12, 2000	St. Louis Rams	L 24–38	FOX 1:00	78,174
12	November 19, 2000	Detroit Lions	L 21–31	FOX 1:00	77,897
13	November 26, 2000	at Arizona Cardinals	W 31–7	ESPN 8:30	42,094
14	December 3, 2000	at Washington Redskins	W 9–7	FOX 1:00	83,485
15	December 10, 2000	Pittsburgh Steelers	W 30–10	CBS 1:00	78,164
16	December 17, 2000	at Dallas Cowboys	W 17–13	ESPN 8:30	61,311
17	December 23, 2000	Jacksonville Jaguars	W 28–25	CBS 1:00	77,924
