Year	Kit Supplier	Sponsor	Shirt Printing	Notes
1996	Rapido	Samsung Electronics	BlueWings	Team name
1997	Rapido	Samsung Electronics	名品+1	Television brand
1998	Rapido	Samsung Electronics	名品+1	Television brand
1999	Rapido	Samsung Electronics	Anycall	Mobile Phone brand
2000	Rapido	Samsung Electronics	Anycall	Mobile Phone brand
2001	Rapido	Samsung Electronics	SensQ Bluewin	Laptop brand Air Conditioner brand
2002	Adidas	Samsung Electronics	Hauzen	Electronics brand
2003	Adidas	Samsung Electronics	Hauzen	Electronics brand
2004	Adidas	Samsung Electronics	PAVV	Television brand
2005	Adidas	Samsung Electronics	PAVV	Television brand
2006	Adidas	Samsung Electronics	PAVV	Television brand
2007	Adidas	Samsung Electronics	PAVV	Television brand
2008	Adidas	Samsung Electronics	PAVV	Television brand
2009	Adidas	Samsung Electronics	Samsung PAVV	Television brand
2010	Adidas	Samsung Electronics	Samsung PAVV	Television brand
2011	Adidas	Samsung Electronics	Samsung SMART TV	Television brand
2012	Adidas	Samsung Electronics	Samsung SMART TV	Television brand
2013	Adidas	Samsung Electronics	Samsung SMART TV	Television brand
