Time	Name	Nationality	Date	Event/Place	Source
67:01	Brian Hill-Cottingham	United Kingdom	April 9, 1960	Romford	ARRS
65:44	Ron Hill	United Kingdom	June 19, 1965	Freckleton	IAAF, ARRS
65:42	Pete Ravald	United Kingdom	June 18, 1966	Freckleton	IAAF, ARRS
64:28 a +	Abebe Bikila	Ethiopia	October 21, 1964	Tokyo	IAAF
63:22 a +	Derek Clayton	Australia	December 3, 1967	Fukuoka Marathon	IAAF
64:45	Ron Hill	United Kingdom	June 21, 1969	Freckleton	IAAF, ARRS
63:53	Derek Graham	United Kingdom	May 2, 1970	Belfast	IAAF, ARRS
63:46	Juan Rafael Angel Perez	Costa Rica	February 8, 1976	Coamo	IAAF, ARRS
63:46	Jose Reveyn	Belgium	March 27, 1976	The Hague	IAAF
62:57	Miruts Yifter	Ethiopia	February 6, 1977	Coamo	IAAF
62:37	Toshihiro Matsumoto	Japan	February 6, 1977	Beppu, Ōita	ARRS
62:47	Tony Simmons	United Kingdom	June 24, 1978	Welwyn Garden City	IAAF
62:36	Nick Rose	United Kingdom	October 14, 1979	Dayton	IAAF, ARRS
62:32	Kirk Pfeffer	United States	December 7, 1979	Las Vegas	IAAF, ARRS
62:16	Stan Mavis	United States	January 27, 1980	New Orleans	IAAF, ARRS
61:47	Herb Lindsay	United States	September 20, 1981	Manchester, Vermont	IAAF
61:36	Mike Musyoki	Kenya	September 19, 1982	Philadelphia	IAAF, ARRS
61:32	Paul Cummings	United States	September 25, 1983	Dayton	IAAF, ARRS
61:14	Steve Jones	United Kingdom	August 11, 1985	Birmingham	IAAF, ARRS
60:55	Mark Curp	United States	September 15, 1985	Philadelphia	IAAF, ARRS
60:43 a	Mike Musyoki	Kenya	June 8, 1986	South Shields	IAAF
60:10 a	Matthews Temane	South Africa	July 25, 1987	East London	IAAF
60:46	Dionicio Ceron	Mexico	September 16, 1990	Philadelphia	ARRS
60:06 a	Steve Moneghetti	Australia	January 24, 1993	Tokyo	IAAF
60:24	Benson Masya	Kenya	April 3, 1993	The Hague	ARRS
59:47	Moses Tanui	Kenya	April 3, 1993	Milan	IAAF
60:13	Paul Tergat	Kenya	April 15, 1993	Milan	ARRS
59:56	Shem Kororia	Kenya	October 4, 1997	Košice	ARRS
59:43 a	António Pinto	Portugal	March 15, 1998	Lisbon	IAAF
59:17	Paul Tergat	Kenya	April 4, 1998	Milan	IAAF, ARRS
59:06 a	Paul Tergat	Kenya	March 26, 2000	Lisbon	IAAF
59:16	Samuel Wanjiru	Kenya	September 11, 2005	Rotterdam	IAAF, ARRS
59:05 a	Zersenay Tadese	Eritrea	September 18, 2005	South Shields	IAAF
58:55	Haile Gebrselassie	Ethiopia	January 15, 2006	Tempe	IAAF
59:07	Paul Kosgei Malakwen	Kenya	April 2, 2006	Berlin	ARRS
58:53	Samuel Wanjiru	Kenya	February 9, 2007	Ras al-Khaimah	IAAF, ARRS
58:33	Samuel Wanjiru	Kenya	March 17, 2007	The Hague	IAAF, ARRS
58:23	Zersenay Tadese	Eritrea	March 21, 2010	Lisbon	IAAF, ARRS
