Date	H/A/N	Opponent	Score	Record
March 1	A	Boston Celtics	105-115	20-50
March 4	A	Houston Rockets	130-123	21-50
March 7	N	San Francisco Warriors	112-119	21-51
March 10	A	Los Angeles Lakers	98-132	21-52
March 12	A	Atlanta Hawks	114-135	21-53
March 14	A	Baltimore Bullets	127-118 (OT)	22-53
March 16	H	Baltimore Bullets	101-105	22-54
March 18	H	Chicago Bulls	91-109	22-55
March 19	H	Atlanta Hawks	105-115	22-56
March 22	H	Los Angeles Lakers	124-120	23-56
March 24	H	Houston Rockets	119-127	23-57
March 25	A	New York Knicks	83-98	23-58
March 26	H	Cincinnati Royals	122-135	23-59
