Series Ep.	Episode	Segment A	Segment B	Segment C	Segment D
18-01	222	ed Pattern Glass Panels	s Road Case	Stop-Frame Animation (Part 1)	Stop-Frame Animation (Part 2)
18-02	223	Industrial Wire s Rope	Living Walls	Large Format Cameras	s Gemstone
18-03	224	Chocolate Coins	Floor Heating System	Pedal Cars	Latex Swords
18-04	225	ed Farm Caviar	Intake s Manifold	Motorcycle s Jacket	Shovels & s Spade
18-05	226	Wax Figures	s Awning	Sandwich s Cracker	Pewter s Tankard
18-06	227	Pipe Cleaners	Blue Stilton Cheese	Smart Electric Meters	Telescopes
18-07	228	Fish s Replica	Siren s System	Pre-packaged Sandwiches	s Candlestick
18-08	229	Tapioca Pudding	Snow Ploughs	Paddle s Boat	Fibre Cement Siding
18-09	230	s Rally Car	Pork s Pie	Floating Fountains	Artificial Stone s Ornament
18-10	231	s Cufflink	Blueberry s Turnover	s Dashboard	Earthenware Pottery
18-11	232	Pharmaceutical Blister Packs	Deli Slicers	s Oyster	s Weathervane
18-12	233	Top & Bowler Hats	Solar Water Heaters	s Sticky Bun	Electrostatic s Speaker
18-13	234	s Turntable	s Steam Engine	Playground Equipment	Non-stick Cookware
