Date	Venue	Score	Result	Competition
6 February 2002	Teheran , Iran	3–2	Win	Friendly
14 May 2002	Prešov , Slovakia	4–1	Win	Friendly
31 March 2004	Bratislava , Slovakia	1–1	Draw	Friendly
8 September 2004	Bratislava , Slovakia	7–0	Win	FIFA World Cup 2006 Qual.
26 March 2005	Tallinn , Estonia	2–1	Win	FIFA World Cup 2006 Qual.
8 June 2005	Luxembourg , Luxembourg	4–0	Win	FIFA World Cup 2006 Qual.
2 September 2006	Bratislava , Slovakia	6–1	Win	UEFA Euro 2008 Qual.
7 October 2006	Cardiff , Wales	5–1	Win	UEFA Euro 2008 Qual.
15 November 2006	Žilina , Slovakia	3–1	Win	Friendly
12 September 2007	Trnava , Slovakia	2–5	Loss	UEFA Euro 2008 Qual.
26 March 2008	Zlaté Moravce , Slovakia	1–2	Loss	Friendly
