Name	License	OS X	Unix-like	Windows	Web Interface
360 Media Server	GPL	No	Yes	Yes	Yes
aVia Media Player	Prop.	No	No	No	No
BRisa	MIT	Partial	Partial	No	Yes
Coherence	MIT	Partial	Partial	Partial	Yes
DivX	Prop.	Yes	No	Yes	No
Elgato Eyeconnect	Prop.	Yes	No	No	No
Foobar2000	Prop.	No	No	Yes	No
FUPPES	GPL	Yes	Yes	Yes	Yes
GeeXboX uShare	GPL	No	Yes	No	Yes
Gmediaserver	GPL	No	Yes	No	No
Home Media Center	GPLv2	No	No	Yes	Yes
iSedora Media Server	Prop.	Yes	No	Yes	Yes
JRiver Media Center	Prop.	No	No	Yes	Yes
KooRaRoo Media	Prop.	Yes	Yes	Yes	Yes
LXiMedia	GPL	Yes	Yes	Yes	No
Majestic Media Server	Prop.	Yes	No	No	No
MediaTomb	GPL	Partial	Yes	No	Yes
MiniDLNA	GPL/BSD	Partial	Yes	Yes	Partial
Mezzmo	Prop.	No	No	Yes	No
myiHome	Prop.	Yes	Yes	Yes	No
MythTV with uPnP	GPL	Yes	Yes	No	Yes
Nullriver Medialink	Prop.	Yes	No	No	No
PlayOn	Prop.	No	No	Yes	Yes
Plex	Prop.	Yes	Yes	Yes	Yes
PS3 Media Server	GPL	Yes	Yes	Yes	Yes
PyMedS	MIT	Partial	Partial	No	No
Rygel	LGPLv2	No	Yes	No	No
Rivet	Prop.	Yes	No	No	No
Serviio	Prop.	Yes	Yes	Yes	Yes
SimpleCenter Premium	Prop.	No	No	Yes	Yes
Skifta	Prop.	Yes	Yes	Yes	No
Songbird	GPLv2	Yes	No	Yes	No
TVble	Prop.	No	No	Yes	No
TVersity	Prop.	No	No	Yes	Yes
TVMOBiLi	Prop.	Yes	Yes	Yes	Yes
TVShare	Prop.	No	No	Yes	No
TwonkyServer	Prop.	Yes	Yes	Yes	Yes
Universal Media Server	GPL	Yes	Yes	Yes	Yes
Windows Media Connect	Prop.	No	No	Yes	No
Wild Media Server	Prop.	Yes	Yes	Yes	Yes
XBMC Media Center	GPL	Yes	Yes	Yes	Yes
xupnpd	GPLv2	No	Yes	No	Yes
Yazsoft Playback	Prop.	Yes	No	No	No
Name	License	OS X	Unix-like	Windows	Web Interface
