Team	City, Region	Arena	Colours	Head coach
Fjölnir	Grafarvogur , Reykjavík	Dalhús	yellow/blue	Hjalti Vilhjálmsson
Grindavík	Grindavík	Grindavík	blue/gold	Sverrir Þór Sverrisson
ÍR	Reykjavík	Seljaskóli	blue/white	Jón Arnar Ingvarsson
Keflavík	Reykjanesbær	Toyota höllin	blue/white	Sigurður Ingimundarson
KR	Reykjavík	DHL-höllin	black/white	Helgi Már Magnússon
KFÍ	Ísafjörður	Ísjakinn	red/white	Pétur Már Sigurðsson
Njarðvík	Njarðvík	Ljónagryfjan	green/white	Einar Jóhannsson
Skallagrímur	Borgarnes	Borgarnes	green/yellow	Pálmi Þór Sævarsson
Snæfell	Sauðárkrókur	Stykkishólmur	red/white	Ingi Þór Steinþórsson
Stjarnan	Garðabær	Ásgarður	blue/white	Teitur Örlygsson
Thor Thorl ( Icelandic : Þór Þorlákshöfn )	Þorlákshöfn	Þorlákshöfn	blue/black	Benedikt Guðmundsson
Tindastóll	Sauðárkrókur	Sauðárkrókur	maroon/white/blue	Bárður Eyþórsson
