Tournament	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006
Australian Open	A	1R	2R	A	3R	2R	A	SF	3R	3R	A	A
French Open	A	2R	A	1R	2R	1R	3R	3R	4R	2R	2R	1R
Wimbledon	A	2R	1R	1R	2R	1R	2R	2R	3R	1R	3R	1R
US Open	1R	2R	2R	1R	4R	3R	3R	4R	3R	3R	2R	4R
Win–Loss	0–1	3–4	2–3	0–3	7–4	3–4	5–3	11–4	9–4	5–4	4–2	3–3
Indian Wells Masters	A	1R	2R	A	1R	1R	A	2R	2R	3R	3R	A
Miami Masters	A	A	2R	1R	1R	3R	1R	3R	2R	3R	4R	A
Monte Carlo Masters	A	2R	A	A	3R	2R	1R	3R	2R	1R	2R	A
Rome Masters	A	A	A	A	A	2R	A	SF	3R	QF	1R	1R
Hamburg Masters	A	A	A	A	3R	1R	A	3R	1R	1R	3R	1R
Canada Masters	A	2R	A	A	3R	SF	1R	SF	3R	2R	2R	A
Cincinnati Masters	A	A	3R	A	3R	2R	2R	1R	1R	1R	1R	A
Madrid Masters	A	A	A	A	3R	1R	3R	F	3R	2R	1R	A
Paris Masters	A	A	A	A	1R	1R	QF	2R	SF	2R	1R	A
Tennis Masters Cup	A	A	A	A	A	A	A	RR	A	A	A	A
Titles	0	1	0	1	0	0	2	0	1	2	0	0
Year End Ranking	53	52	48	75	36	53	29	7	13	24	48	129
