Unit	Commander	Complement	Killed	Wounded	Missing
5th Division	Lieutenant General Sir Thomas Picton	312 off 4792 men	6 off 84 men	49 off 531 men	3 off 27 men
8th Brigade	Major General Sir James Kempt	167 off 2348 men	4 off 68 men	44 off 522 men	1 off 0 men
1st Battalion, 32nd (Cornwall) Regiment of Foot	Major (Brevet Lieutenant Colonel) John Hicks	44 off 605 men	2 off 21 men	20 off 153 men	0 off 0 men
79th Regiment of Foot (Cameron Highlanders)	Lieutenant-Colonel Neil Douglas	46 off 656 men	2 off 28 men	16 off 258 men	1 off 0 men
9th Brigade	Major General Sir Dennis Pack	177 off 2133 men	18 off 107 men	57 off 728 men	0 off 17 men
2nd Battalion, 44th (East Essex) Regiment of Foot	Lieutenant-Colonel John Millert Hamerton	36 off 427 men	2 off 10 men	15 off 94 men	0 off 17 men
92nd Regiment of Foot (Gordon Highlanders)	Lieutenant-Colonel John Cameron of Fassifern	47 off 568 men	6 off 35 men	16 off 226 men	0 off 0 men
4th Hanoverian Brigade	Colonel Charles Best	140 off 2444 men	2 off 16 men	4 off 39 men	2 off 27 men
Landwehr Battalion Lüneberg	Lieutenant Colonel Ludwig von Romdohr	24 off 582 men	0 off 4 men	2 off 8 men	0 off 4 men
Landwehr Battalion Munden	Major Ferdinand von Schmid	37 off 590 men	0 off 6 men	0 off 14 men	0 off 13 men
Landwehr Battalion Osterode	Major Claus von Reden	35 off 621 men	1 off 1 man	0 off 3 men	0 off 0 men
