Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	12 July 1987	Båstad , Sweden	Clay	Sandra Cecchini	Penny Barg Tine Scheuer-Larsen	1–6, 2–6
Winner	16 July 1989	Arcachon , France	Clay	Sandra Cecchini	Mercedes Paz Brenda Schultz	6–3, 7–6
Winner	17 September 1989	Athens , Greece	Clay	Sandra Cecchini	Elena Pampoulova Silke Meier	4–6, 6–4, 6–2
Winner	24 September 1989	Paris, France	Clay	Sandra Cecchini	Nathalie Herreman Catherine Suire	−6-1, 6–1
Winner	17 December 1989	Guarujá , Brazil	Hard	Mercedes Paz	Claudia Chabalgoity Luciana Corsato-Owsianka	6–2, 6–2
Runner-up	29 April 1990	Barcelona , Spain	Clay	Sabrina Goleš	Mercedes Paz Arantxa Sánchez Vicario	7–6, 2–6, 1–6
Winner	22 July 1990	Estoril , Portugal	Clay	Sandra Cecchini	Carin Bakkum Nicole Muns-Jagerman	1–6, 6–2, 6–3
Runner-up	16 September 1990	Kitzbühel , Austria	Clay	Sandra Cecchini	Petra Langrová Radomira Zrubáková	0–6, 4–6
Runner-up	21 July 1991	Kitzbühel , Austria	Clay	Sandra Cecchini	Bettina Fulco Nicole Jagerman	5–7, 4–6
Winner	29 September 1991	Bayonne , France	Carpet	Nathalie Tauziat	Rachel McQuillan Catherine Tanvier	6–3, RET
Winner	20 September 1992	Paris , France	Clay	Sandra Cecchini	Rachel McQuillan Noëlle van Lottum	7–5, 6–1
Winner	18 July 1993	Prague , Czech Republic	Clay	Inés Gorrochategui	Laura Golarsa Caroline Vis	6–2, 6–1
Winner	1 August 1993	San Marino	Clay	Sandra Cecchini	Florencia Labat Barbara Rittner	6–3, 6–2
Runner-up	24 October 1993	Budapest , Hungary	Carpet	Sandra Cecchini	Inés Gorrochategui Caroline Vis	1–6, 3–6
Runner-up	22 May 1994	Strasbourg , France	Clay	Caroline Vis	Lori McNeil Rennae Stubbs	3–6, 6–3, 2–6
Winner	31 July 1994	Styria , Austria	Clay	Sandra Cecchini	Alexandra Fusai Karina Habšudová	7–5, 7–5
Runner-up	7 May 1995	Hamburg , Germany	Clay	Conchita Martínez	Gigi Fernández Martina Hingis	2–6, 3–6
Runner-up	14 May 1995	Rome , Italy	Clay	Conchita Martínez	Gigi Fernández Natalia Zvereva	6–3, 6–7, 4–6
Runner-up	11 May 1997	Rome , Italy	Clay	Conchita Martínez	Nicole Arendt Manon Bollegraf	2–6, 4–6
Runner-up	27 July 1997	Stanford , California, USA	Hard	Conchita Martínez	Lindsay Davenport Martina Hingis	1–6, 3–6
Winner	5 April 1998	Hilton Head , South Carolina, USA	Clay	Conchita Martínez	Lisa Raymond Rennae Stubbs	3–6, 6–4, 6–4
Winner	5 April 1999	Amelia Island , Florida, USA	Clay	Conchita Martínez	Lisa Raymond Rennae Stubbs	7–5, 0–6, 6–4
Runner-up	16 May 1999	Berlin , Germany	Clay	Jana Novotná	Alexandra Fusai Nathalie Tauziat	3–6, 5–7
Winner	26 September 1999	Tokyo , Japan	Hard	Conchita Martínez	Amanda Coetzer Jelena Dokić	6–7, 6–4, 6–2
Runner-up	23 April 2000	Hilton Head , Florida, USA	Clay	Conchita Martínez	Virginia Ruano Pascual Paola Suárez	5–7, 3–6
Winner	15 April 2001	Amelia Island , Florida, USA	Clay	Conchita Martínez	Martina Navratilova Arantxa Sánchez Vicario	6–4, 6–2
Runner-up	20 May 2001	Rome , Italy	Clay	Paola Suárez	Cara Black Elena Likhovtseva	1–6, 1–6
Winner	15 July 2001	Vienna , Austria	Clay	Paola Suárez	Vanessa Henke Lenka Němečková	6–4, 6–2
Runner-up	16 September 2001	Bahia , Brazil	Hard	Nicole Arendt	Amanda Coetzer Lori McNeil	7–6(8), 2–6, 4–6
Runner-up	19 May 2002	Rome , Italy	Clay	Conchita Martínez	Virginia Ruano Pascual Paola Suárez	3–6, 4–6
Runner-up	2 May 2004	Warsaw , Poland	Clay	Gisela Dulko	Silvia Farina Elia Francesca Schiavone	6–3, 2–6, 1–6
