Player	Span	Lost	Draw	Tries	Conv	Pens	Drop
Nili Latu	2006-	14	0	3	0	1	0
Inoke Afeaki	2001-2003	8	0	3	0	0	0
Fakahau Valu	1977-1987	11	0	3	0	0	0
Aleki Lutui	2004-2011	8	0	1	0	0	0
Elisi Vunipola	1999-2001	5	0	3	0	0	0
Sione Mafi Pahulu	1973-1975	6	0	3	0	1	0
Siaosi Atiola	1987-1990	4	1	1	0	0	0
Mana Otai	1995	2	0	1	0	0	0
Fe'ao Vunipola	1994-1998	3	0	0	0	0	0
5 players on 4 matches	5 players on 4 matches	5 players on 4 matches	5 players on 4 matches	5 players on 4 matches	5 players on 4 matches	5 players on 4 matches	5 players on 4 matches
