Year	Celebrity partner	Week #	Dance	Horwood	Phillips	Goodman	Tonioli	Total
2004	Jill Halfpenny	1	Waltz	7	6	7	7	27
2004	Jill Halfpenny	2	Rumba	8	8	8	8	32
2004	Jill Halfpenny	3	Jive	8	9	9	9	35
2004	Jill Halfpenny	4	Foxtrot	8	9	9	8	34
2004	Jill Halfpenny	5	Samba	8	9	9	9	35
2004	Jill Halfpenny	6	Quickstep	8	8	8	8	32
2004	Jill Halfpenny	6	Cha-Cha-Cha	9	9	9	9	36
2004	Jill Halfpenny	7 (semi-final)	Tango	7	8	7	7	29
2004	Jill Halfpenny	7 (semi-final)	Paso Doble	9	10	9	9	37
2004	Jill Halfpenny	8 (final) (Winner)	Foxtrot	9	8	9	8	34
2004	Jill Halfpenny	8 (final) (Winner)	Jive	10	10	10	10	40
2005	Gloria Hunniford	1	Waltz	4	5	7	6	22
2005	Gloria Hunniford	2	Rumba	2	4	5	6	17
2005	Gloria Hunniford	3	Jive	3	4	6	6	19
2006	Emma Bunton	2	Quickstep	8	8	8	9	33
2006	Emma Bunton	3	Jive	8	8	8	9	33
2006	Emma Bunton	4	Foxtrot	8	7	7	8	30
2006	Emma Bunton	5	Viennese Waltz	8	9	8	9	34
2006	Emma Bunton	6	Samba	9	9	9	9	36
2006	Emma Bunton	7	Cha-Cha-Cha	7	7	7	9	30
2006	Emma Bunton	8	American Smooth	8	8	9	9	34
2006	Emma Bunton	9	Waltz	9	8	10	10	37
2006	Emma Bunton	9	Paso Doble	9	9	9	10	37
2006	Emma Bunton	10 (semi-final)	Tango	9	8	9	9	35
2006	Emma Bunton	10 (semi-final)	Rumba	8	8	9	9	34
2006	Emma Bunton	11 (final) (Third place)	Argentine Tango	9	9	9	9	36
2006	Emma Bunton	11 (final) (Third place)	Salsa	8	7	9	9	33
2007	Letitia Dean	2	Rumba	4	6	7	6	23
2007	Letitia Dean	3	Tango	6	7	7	7	27
2007	Letitia Dean	4	American Smooth	7	8	8	8	31
2007	Letitia Dean	5	Paso Doble	7	8	8	8	31
2007	Letitia Dean	6	Salsa	6	6	7	6	25
2007	Letitia Dean	7	Foxtrot	8	8	9	9	34
2007	Letitia Dean	8	Viennese Waltz	8	8	7	9	32
2007	Letitia Dean	9	Quickstep	7	7	8	8	30
2007	Letitia Dean	9	Cha-Cha-Cha	6	6	7	7	26
2007	Letitia Dean	10	Waltz	8	9	9	9	35
2007	Letitia Dean	10	Jive	7	7	8	8	30
2008	Jessie Wallace	2	Salsa	4	4	6	6	20
2008	Jessie Wallace	4	Quickstep	3	5	5	6	19
2009	Lynda Bellingham	1	Tango	3	6	7	5	21
2009	Lynda Bellingham	1	Cha-Cha-Cha	5	6	6	6	23
2009	Lynda Bellingham	3	Paso Doble	5	7	7	6	25
