Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1994	Courage Compétition	Henri Pescarolo Alain Ferté	LMP1 C90	142	DNF	DNF
1995	Courage Compétition	Henri Pescarolo Éric Bernard	WSC	26	DNF	DNF
1996	La Filière Elf	Henri Pescarolo Emmanuel Collard	LMP1	327	7th	2nd
1997	DAMS	Éric Bernard Jean-Christophe Boullion	GT1	149	DNF	DNF
1998	Nissan Motorsports TWR	John Nielsen Michael Krumm	GT1	342	5th	5th
1999	AMG-Mercedes	Bernd Schneider Pedro Lamy	LMGTP	76	DNF	DNF
2000	Team Cadillac	Butch Leitzinger Andy Wallace	LMP900	291	21st	11th
2001	Panoz Motorsports	David Brabham Jan Magnussen	LMP900	85	DNF	DNF
2002	Pescarolo Sport	Sébastien Bourdais Jean-Christophe Boullion	LMP900	343	10th	9th
2003	Pescarolo Sport	Stéphane Sarrazin Jean-Christophe Boullion	LMP900	356	8th	6th
