Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1995	Shen Yifeng	Yu Yu Wang	Plamen Peev Tzvetozar Kolev	Andrea Dako Adrienn Kocsis	Zhou Yifeng Yu Yu Wang
1996 1998	No competition	No competition	No competition	No competition	No competition
1999	Salim	Zeng Yaqiong	Ian Sullivan Anthony Clark	Yamada Hiromi Murakami Naomi	Ian Sullivan Han Jingna
2000	No competition	No competition	No competition	No competition	No competition
2001	Yong Ying Li	Agnese Allegrini	Franklin Wahab Arnd Vetters	Kathrin Hoffmann Jessica Willems	Franklin Wahab Jessica Willems
2002	Jens Roch	Maria Kazakova	Arturo Ruiz Nicolás Escartín Ara	Verena Fastenbauer Simone Prutsch	Maxim Carpenco Evelin Gridenberg
2003	Gerben Bruijsten	Agnese Allegrini	Inoki Cahyadi Agus Sugimin	Agnese Allegrini Federica Panini	Jesper Hovgaard Karina Sörensen
2004	Daniel Damgaard-Pedersen	Maja Tvrdy	Daniel Damgaard-Pedersen Christoffer B. Jensen	Mia Nielsen Line Isberg	Jesper Hovgaard Line Isberg
2005	Joachim Persson	Tine Rasmussen	Simon Mollyhus Anders Kristiansen	Nina Vislova Valeri Sorokina	Vitalij Durkin Marina Yakusheva
2006	Jens-Kristian Leth	Sara Persson	Alexander Nikolaenko Vitalij Durkin	Cai Jaini Qi Yu	Peter Buur Steffensen Mette Schjoldager
2007	Sho Sasaki	Juliane Schenk	Carsten Mogensen Mathias Boe	Anastasia Russkikh Ekaterina Ananina	Alexander Nikolaenko Nina Vislova
2008	Wong Choong Hann	Juliane Schenk	Kristof Hopp Johannes Schöttler	Valeria Sorokina Nina Vislova	Vitalij Durkin Nina Vislova
2009	cancelled	cancelled	cancelled	cancelled	cancelled
2010	Przemysław Wacha	Olga Konon	Anthony Clark Chris Langridge	Selena Piek Iris Tabeling	Chris Adcock Imogen Bankier
2011	Pablo Abian	Yao Jie	Vladimir Ivanov Ivan Sozonov	Valeria Sorokina Nina Vislova	Alexandr Nikolaenko Valeria Sorokina
2012	cancelled	cancelled	cancelled	cancelled	cancelled
