Place	Player	Country	Score	To par
1	Nick Faldo	England	67-65-67=199	–17
T2	Ian Baker-Finch	Australia	68-72-64=204	–12
T2	Payne Stewart	United States	68-68-68=204	–12
4	Craig Parry	Australia	68-68-69=205	–11
5	Paul Broadhurst	England	74-69-63=206	–10
T6	Frank Nobilo	New Zealand	72-67-68=207	–9
T6	Ian Woosnam	Wales	68-69-70=207	–9
T8	Vicente Fernández	Argentina	72-67-69=208	–8
T8	Peter Jacobsen	United States	68-70-70=208	–8
T8	Greg Norman	Australia	66-66-76=208	–8
T8	Corey Pavin	United States	71-69-68=208	–8
T8	Nick Price	Zimbabwe	70-67-71=208	–8
T8	Tim Simpson	United States	70-69-69=208	–8
