Event	Time	Nationality	Date	Meet	Location
50m freestyle	24.48	Belarus	16 July 2013	2013 Universiade	Kazan , Russia
100m freestyle	53.50	Belarus	12 July 2013	2013 Universiade	Kazan , Russia
200m freestyle	1:57.31	Russia	15 July 2013	2013 Universiade	Kazan , Russia
400m freestyle	4:06.11	Italy	11 August 2007	2007 Universiade	Bangkok , Thailand
800m freestyle	8:25.59	Switzerland	9 August 2007	2007 Universiade	Bangkok , Thailand
1500m freestyle	16:04.44	United States	13 July 2013	2013 Universiade	Kazan , Russia
50m backstroke	27.89	Russia	15 July 2013	2013 Universiade	Kazan , Russia
100m backstroke	59.83	Russia	13 July 2013	2013 Universiade	Kazan , Russia
200m backstroke	2:08.91	Great Britain	6 July 2009	2009 Universiade	Belgrade , Serbia
50m breaststroke	30.12	Russia	16 July 2013	2013 Universiade	Kazan , Russia
100m breaststroke	1:05.48	Russia	12 July 2013	2013 Universiade	Kazan , Russia
200m breaststroke	2:22.32	Japan	9 July 2009	2009 Universiade	Belgrade , Serbia
50m butterfly	25.84	Belarus	11 July 2013	2013 Universiade	Kazan , Russia
100m butterfly	57.63	Canada	14 July 2013	2013 Universiade	Kazan , Russia
200m butterfly	2:06.83	Canada	14 August 2007	2007 Universiade	Bangkok , Thailand
200m individual medley	2:12.07	United States	8 July 2009	2009 Universiade	Belgrade , Serbia
400m individual medley	4:37.50	Ukraine	12 August 2007	2007 Universiade	Bangkok , Thailand
4×100m freestyle relay	3:38.15	Russia	10 July 2013	2013 Universiade	Kazan , Russia
4×200m freestyle relay	7:55.02	United States	17 August 2011	2011 Universiade	Shenzhen , China
4×100m medley relay	3:58.04	Russia	16 July 2013	2013 Universiade	Kazan , Russia
