Heat	Lane	Name	Nationality	Time
7	4	Alexander Dale Oen	Norway	59.41
8	4	Kosuke Kitajima	Japan	59.52
9	5	Hugues Duboscq	France	59.67
7	5	Brenton Rickard	Australia	59.89
7	7	Cameron van der Burgh	South Africa	59.96
9	7	Giedrius Titenis	Lithuania	1:00.11
9	3	Roman Sloudnov	Russia	1:00.20
8	2	Igor Borysik	Ukraine	1:00.31
6	3	Damir Dugonjič	Slovenia	1:00.35
7	3	Christian Sprenger	Australia	1:00.36
9	4	Brendan Hansen	United States	1:00.65
7	6	Oleg Lisogor	Ukraine	1:00.65
9	2	Yuta Suenaga	Japan	1:00.67
8	7	Mihail Alexandrov	Bulgaria	1:00.69
8	5	Chris Cook	Great Britain	1:00.70
8	3	Mark Gangloff	United States	1:00.71
6	5	Vladislav Polyakov	Kazakhstan	1:00.80
4	4	Hunor Mate	Austria	1:00.93
8	8	Richárd Bodor	Hungary	1:00.97
5	5	Mike Brown	Canada	1:00.98
8	6	Glenn Snyders	New Zealand	1:00.98
7	1	Felipe França Silva	Brazil	1:01.04
7	2	Henrique Barbosa	Brazil	1:01.11
6	7	Matjaž Markič	Slovenia	1:01.31
7	8	Dániel Gyurta	Hungary	1:01.31
9	8	Thijs van Valkengoed	Netherlands	1:01.32
9	1	Kristopher Gilchrist	Great Britain	1:01.34
6	1	Mathieu Bois	Canada	1:01.45
6	6	Jiří Jedlička	Czech Republic	1:01.56
5	2	Andrew Bree	Ireland	1:01.76
5	1	Valentin Preda	Romania	1:01.77
5	3	Jonas Andersson	Sweden	1:01.77
3	1	Daniel Velez	Puerto Rico	1:01.80
8	1	Dmitry Komornikov	Russia	1:01.82
5	4	Yevgeniy Ryzhkov	Kazakhstan	1:01.83
6	4	Borja Iradier	Spain	1:01.83
6	2	Melquíades Álvarez	Spain	1:01.89
3	2	Sandeep Sejwal	India	1:02.19
4	5	Demir Atasoy	Turkey	1:02.25
4	2	Čaba Silađi	Serbia	1:02.31
3	3	Genaro Prono	Paraguay	1:02.32
4	7	Tom Be'eri	Israel	1:02.42
5	6	Vanja Rogulj	Croatia	1:02.42
5	7	Sofiane Daid	Algeria	1:02.45
4	6	Martti Aljand	Estonia	1:02.46
4	8	Xue Ruipeng	China	1:02.48
4	3	Jakob Jóhann Sveinsson	Iceland	1:02.50
3	6	Malick Fall	Senegal	1:02.51
5	8	Viktar Vabishchevich	Belarus	1:03.29
9	6	Romanos Alyfantis	Greece	1:03.39
3	5	Alwin de Prins	Luxembourg	1:03.64
3	4	Sergio Andres Ferreyra	Argentina	1:03.65
2	3	Edgar Crespo	Panama	1:03.72
2	4	Sergiu Postica	Moldova	1:03.83
3	8	Andrei Cross	Barbados	1:04.57
3	7	Ivan Demyanenko	Uzbekistan	1:05.14
2	6	Wael Koubrousli	Lebanon	1:06.22
2	5	Nguyen Huu Viet	Vietnam	1:06.36
2	2	Erik Rajohnson	Madagascar	1:08.42
2	7	Boldbaataryn Bütekh-Uils	Mongolia	1:10.80
1	4	Osama Mohammed Ye Alarag	Qatar	1:10.83
1	5	Mohammed Al-Habsi	Oman	1:12.28
1	3	Petero Okotai	Cook Islands	1:20.20
6	8	Alessandro Terrin	Italy	DSQ
4	1	Mohammad Alirezaei	Iran	DNS
