Round	Pick #	Overall	Name	Position	College
1	1	1	Aundray Bruce	Linebacker	Auburn
2	1	28	Marcus Cotton	Linebacker	USC
3	1	56	Alex Higdon	Tight End	Ohio State
5	1	110	Charles Dimry	Cornerback	UNLV
6	1	138	George Thomas	Wide Receiver	UNLV
6	3	140	Houston Hoover	Guard	Jackson State
7	1	166	Michael Haynes	Wide Receiver	Northern Arizona
8	1	194	Phillip Brown	Linebacker	Alabama
9	1	222	James Primus	Running Back	UCLA
10	1	250	Stan Clayton	Offensive Tackle	Penn State
11	1	278	James Milling	Wide Receiver	Maryland
12	1	306	Carter Wiley	Defensive Back	Virginia Tech
