Name	Years	Gender	Area	Authority	Decile	Roll
Aria School	1–6	Coed	Aria	State	5	55
Benneydale School	1–8	Coed	Benneydale	State	1	14
Centennial Park School	1–8	Coed	Te Kuiti	State	1	113
Kinohaku School	1–8	Coed	Te Kuiti	State	4	32
Mapiu School	1–8	Coed	Mapiu	State	4	9
Mokau School	1–8	Coed	Mokau	State	3	24
Piopio College	7–15	Coed	Piopio	State	4	202
Piopio Primary School	1–6	Coed	Piopio	State	5	129
Piri Piri School	1–8	Coed	Te Kuiti	State	4	22
Pukenui School	1–8	Coed	Te Kuiti	State	2	186
Rangitoto School	1–8	Coed	Rangitoto	State	6	40
St Joseph's Catholic School	1–8	Coed	Te Kuiti	State integrated	4	102
Te Kuiti High School	9–15	Coed	Te Kuiti	State	3	321
Te Kuiti Primary School	1–8	Coed	Te Kuiti	State	2	356
Te Kura o Tahaaroa	1–8	Coed	Te Kuiti	State	3	38
Te Wharekura o Maniapoto	1–15	Coed	Te Kuiti	State	2	96
Waitomo Caves School	1–8	Coed	Waitomo Caves	State	5	44
Whareorino School	1–8	Coed	Mokau	State	5	10
