Block A	Wataru Inoue	Jushin Liger	Minoru	Ryusuke Taguchi	Tatsuhito Takaiwa	Yujiro
Wataru Inoue	X	Inoue (17:13)	Inoue (19:14)	Taguchi (17:44)	Inoue (13:24)	Inoue (11:19)
Jushin Liger	Inoue (17:13)	X	Minoru (13:32)	Taguchi (14:31)	Liger (14:49)	Liger (9:57)
Minoru	Inoue (19:14)	Minoru (13:32)	X	Taguchi (14:29)	Minoru (11:31)	Yujiro (11:58)
Ryusuke Taguchi	Taguchi (17:44)	Taguchi (14:31)	Taguchi (14:29)	X	Takaiwa (14:39)	Taguchi (13:20)
Tatsuhito Takaiwa	Inoue (13:24)	Liger (14:49)	Minoru (11:31)	Takaiwa (14:39)	X	Takaiwa (10:47)
Yujiro	Inoue (11:19)	Liger (9:57)	Yujiro (11:58)	Taguchi (13:20)	Takaiwa (10:47)	X
Block B	Akira	Prince Devitt	Koji Kanemoto	Tetsuya Naito	Jimmy Rave	Tiger Mask IV
Akira	X	Akira (forfeit)	Akira (18:14)	Naito (13:56)	Rave (11:25)	T. Mask (10:22)
Prince Devitt	Akira (forfeit)	X	Kanemoto (forfeit)	Naito (forfeit)	Rave (forfeit)	T. Mask (1:40)
Koji Kanemoto	Akira (18:14)	Kanemoto (forfeit)	X	Kanemoto (10:43)	Kanemoto (13:57)	T. Mask (10:16)
Tetsuya Naito	Naito (13:56)	Naito (forfeit)	Kanemoto (10:43)	X	Rave (8:01)	T. Mask (11:10)
Jimmy Rave	Rave (11:25)	Rave (forfeit)	Kanemoto (13:57)	Rave (8:01)	X	T. Mask (14:03)
Tiger Mask IV	T. Mask (10:22)	T. Mask (1:40)	T. Mask (10:16)	T. Mask (11:10)	T. Mask (14:03)	X
