Date	Visitor	Score	Home	Leading scorer	Record
2 November 2007	Bucks	99–102	Bobcats	Michael Redd (21)	0–2
3 November 2007	Bulls	72–78	Bucks	Michael Redd (27)	1–2
6 November 2007	Raptors	85–112	Bucks	Desmond Mason (21)	2–2
9 November 2007	Bucks	88–104	Rockets	Michael Redd (26)	2–3
11 November 2007	Bucks	88–113	Spurs	Maurice Williams (17)	2–4
14 November 2007	Grizzlies	99–102	Bucks	Michael Redd (31)	3–4
17 November 2007	Hawks	96–105	Bucks	Two-way tie (21)	4–4
20 November 2007	Bucks	111–107	Cavaliers	Michael Redd (34)	5–4
21 November 2007	Lakers	103–110	Bucks	Michael Redd (26)	6–4
24 November 2007	Mavericks	95–97	Bucks	Michael Redd (27)	7–4
27 November 2007	Sixers	114–99	Bucks	Michael Redd (17)	7–5
28 November 2007	Bucks	80–96	Hawks	Michael Redd (24)	7–6
30 November 2007	Bucks	88–91	Knicks	Michael Redd (27)	7–7
