Official Name	Status	Area km 2	Population	Census Ranking
Kingsclear	Parish	303.26	6,689	545 of 5,008
Douglas	Parish	1446.50	5,774	609 of 5,008
Saint Marys	Parish	753.06	4,224	767 of 5,008
Bright	Parish	404.00	3,159	958 of 5,008
New Maryland	Parish	375.40	2,348	1,193 of 5,008
Manners Sutton	Parish	525.47	1,863	1,394 of 5,008
Stanley	Parish	2,040.21	1,817	1,408 of 5,008
Southampton	Parish	450.05	1,601	1,535 of 5,008
Queensbury	Parish	301.22	1,215	1,811 of 5,008
Prince William	Parish	287.92	879	2,234 of 5,008
Canterbury	Parish	557.22	555	2,875 of 5,008
Dumfries	Parish	305.23	369	3,418 of 5,008
North Lake	Parish	440.72	300	3,678 of 5,008
McAdam	Parish	537.62	80	4,512 of 5,008
