Model Name	Model #	Color	Switch Type	Interface	Blank Keytops	Introduced
Happy Hacking Keyboard	PD-KB02	White	Membrane	PS/2 , Sun , ADB	No	Dec 20, 1996
Happy Hacking Keyboard	PD-KB02N	White	Membrane	PS/2 , Sun , ADB	No	Dec 20, 1996
Happy Hacking Keyboard Lite	PD-KB100W	White	Membrane	PS/2	No	Jun 7, 1999
Happy Hacking Keyboard Lite 2	PD-KB200W/P	White	Membrane	PS/2	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB200B/P	Black	Membrane	PS/2	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB200W/U	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB200B/U	Black	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB210W/U	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB210B/U	Black	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB220W/U	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB220B/U	Black	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB220MKW	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB200MKB	Black	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB200MA	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Lite 2	PD-KB220MA	White	Membrane	USB	No	Mar 15, 2001
Happy Hacking Keyboard Professional	PD-KB300	White	Capacitive	USB	No	Apr 24, 2003
Happy Hacking Keyboard Professional	PD-KB300B	Charcoal Gray	Capacitive	USB	No	Apr 24, 2003
Happy Hacking Keyboard Professional	PD-KB300NL	White	Capacitive	USB	Yes	Apr 24, 2003
Happy Hacking Keyboard Professional	PD-KB300BN	Charcoal Gray	Capacitive	USB	Yes	Apr 24, 2003
Happy Hacking Keyboard Professional 2	PD-KB400W	White	Capacitive	USB	No	Mar 24, 2006
Happy Hacking Keyboard Professional 2	PD-KB400B	Charcoal Gray	Capacitive	USB	No	Mar 24, 2006
Happy Hacking Keyboard Professional 2	PD-KB400WN	White	Capacitive	USB	Yes	Mar 24, 2006
Happy Hacking Keyboard Professional 2	PD-KB400BN	Charcoal Gray	Capacitive	USB	Yes	Mar 24, 2006
Happy Hacking Keyboard Professional JP	PD-KB420W	White	Capacitive	USB	No	Nov 10, 2008
Happy Hacking Keyboard Professional JP	PD-KB420B	Charcoal Gray	Capacitive	USB	No	Nov 10, 2008
Happy Hacking Keyboard Professional HG	PD-KB500W	White	Capacitive	USB	No	Oct 12, 2006
Happy Hacking Keyboard Professional HG	PD-KB500B	Black	Capacitive	USB	No	Oct 12, 2006
Happy Hacking Keyboard Professional HG	PD-KB500WN	White	Capacitive	USB	Yes	Oct 12, 2006
Happy Hacking Keyboard Professional HG	PD-KB500BN	Black	Capacitive	USB	Yes	Oct 12, 2006
Happy Hacking Keyboard Professional HG JAPAN	PD-KB500J	Wajima-style lacquer	Capacitive	USB	Yes	Oct 12, 2006
Happy Hacking Keyboard Professional 2 Type-S	PD-KB400WS	White	Capacitive	USB	No	June 29, 2011
Happy Hacking Keyboard Professional 2 Type-S	PD-KB400WNS	White	Capacitive	USB	Yes	June 29, 2011
Happy Hacking Keyboard Professional JP Type-S	PD-KB420WS	White	Capacitive	USB	No	June 29, 2011
