Name	Height	Weight	Spike	2008 club
Yessica Paz Category:Articles with hCards	m ()	kg (lb)	cm (in)	Aragua
Génesis Franchesco Category:Articles with hCards	m ()	kg (lb)	cm (in)	Miranda
Maria Valero Category:Articles with hCards	m ()	kg (lb)	cm (in)	Barinas
Amarilis Villar Category:Articles with hCards	m ()	kg (lb)	cm (in)	Vargas
Jayce Andrade Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zulia
Desiree Glod Category:Articles with hCards	m ()	kg (lb)	cm (in)	Miranda
Gheraldine Quijada Category:Articles with hCards	m ()	kg (lb)	cm (in)	D.C.
Shirley Florian Category:Articles with hCards	m ()	kg (lb)	cm (in)	Zulia
Aleoscar Blanco Category:Articles with hCards	m ()	kg (lb)	cm (in)	Vargas
María José Pérez Category:Articles with hCards	m ()	kg (lb)	cm (in)	Llaneras de Toa Baja
Roslandy Acosta Category:Articles with hCards	m ()	kg (lb)	cm (in)	Vargas
Wendy Romero Category:Articles with hCards	m ()	kg (lb)	cm (in)	Cojedes
