Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 10	MONY Tournament of Champions	California	Mac O'Grady (2)	278 (–10)	90,000
Jan 18	Bob Hope Chrysler Classic	California	Corey Pavin (5)	341 (–19)	162,000
Jan 25	Phoenix Open	Arizona	Paul Azinger (1)	268 (–16)	108,000
Feb 1	AT&T Pebble Beach National Pro-Am	California	Johnny Miller (24)	278 (–10)	108,000
Feb 8	Hawaiian Open	Hawaii	Corey Pavin (6)	270 (–18)	108,000
Feb 15	Shearson Lehman Brothers Andy Williams Open	California	George Burns (4)	266 (–22)	90,000
Feb 22	Los Angeles Open	California	T. C. Chen (1)	275 (–9)	108,000
Mar 1	Doral-Ryder Open	Florida	Lanny Wadkins (16)	277 (–11)	180,000
Mar 8	Honda Classic	Florida	Mark Calcavecchia (2)	279 (–9)	108,000
Mar 15	Hertz Bay Hill Classic	Florida	Payne Stewart (3)	264 (–20)	108,000
Mar 22	USF&G Classic	Louisiana	Ben Crenshaw (13)	268 (–20)	90,000
Mar 29	Tournament Players Championship	Florida	Sandy Lyle (3)	274 (–14)	180,000
Apr 5	Greater Greensboro Open	North Carolina	Scott Simpson (3)	282 (–6)	108,000
Apr 12	Masters Tournament	Georgia	Larry Mize (2)	285 (–3)	162,000
Apr 19	MCI Heritage Golf Classic	South Carolina	Davis Love III (1)	271 (–13)	117,000
Apr 26	Big "I" Houston Open	Texas	Jay Haas (6)	276 (–12)	108,000
May 3	Panasonic Las Vegas Invitational	Nevada	Paul Azinger (2)	271 (–17)	225,000
May 10	Byron Nelson Golf Classic	Texas	Fred Couples (3)	266 (–14)	108,000
May 17	Colonial National Invitation	Texas	Keith Clearwater (1)	266 (–14)	108,000
May 24	Georgia-Pacific Atlanta Golf Classic	Georgia	Dave Barr (2)	265 (–23)	108,000
May 31	Memorial Tournament	Ohio	Don Pooley (2)	272 (–16)	140,000
Jun 7	Kemper Open	Maryland	Tom Kite (10)	270 (–14)	126,000
Jun 14	Manufacturers Hanover Westchester Classic	New York	J. C. Snead (8)	276 (–8)	108,000
Jun 21	U.S. Open	California	Scott Simpson (4)	277 (–3)	150,000
Jun 28	Canon Sammy Davis Jr.-Greater Hartford Open	Connecticut	Paul Azinger (3)	269 (–15)	126,000
Jul 5	Canadian Open	Canada	Curtis Strange (10)	276 (–12)	108,000
Jul 12	Anheuser-Busch Golf Classic	Virginia	Mark McCumber (5)	267 (–17)	110,160
Jul 19	Hardee's Golf Classic	Illinois	Kenny Knox (2)	265 (–15)	90,000
Jul 19	British Open	Scotland	Nick Faldo (2)	279 (–5)	120,000
Jul 26	Buick Open	Michigan	Robert Wrenn (1)	262 (–26)	108,000
Aug 2	Federal Express St. Jude Classic	Tennessee	Curtis Strange (11)	275 (–13)	130,328
Aug 9	PGA Championship	Florida	Larry Nelson (8)	287 (–1)	150,000
Aug 16	The International	Colorado	John Cook (3)	16 ( Stableford )	180,000
Aug 23	Beatrice Western Open	Illinois	D. A. Weibring (2)	207 (–9)	144,000
Aug 30	NEC World Series of Golf	Ohio	Curtis Strange (12)	275 (–5)	144,000
Aug 30	Provident Classic	Tennessee	John Inman (1)	265 (–15)	81,000
Sep 6	B.C. Open	New York	Joey Sindelar (3)	266 (–18)	72,000
Sep 13	Bank of Boston Classic	Massachusetts	Sam Randolph (1)	199 (–14)	90,000
Sep 21	Greater Milwaukee Open	Wisconsin	Gary Hallberg (2)	269 (–19)	108,000
Sep 27	Southwest Golf Classic	Texas	Steve Pate (1)	273 (–15)	72,000
Oct 4	Southern Open	Georgia	Ken Brown (1)	266 (–14)	72,000
Oct 11	Pensacola Open	Florida	Doug Tewell (4)	269 (–15)	54,000
Oct 18	Walt Disney World/Oldsmobile Classic	Florida	Larry Nelson (9)	268 (–20)	108,000
Oct 25	Seiko Tucson Open	Arizona	Mike Reid (1)	268 (–20)	108,000
Nov 1	Centel Classic	Florida	Keith Clearwater (2)	278 (–10)	90,000
Nov 1	Nabisco Championship	Texas	Tom Watson (37)	268 (–12)	360,000
