Election	# of candidates nominated	# of seats won	# of total votes	% of popular vote	result
1867	65	62	60818	22.67%	Cons. majority
1872	111	95	110556	34.72%	Cons. majority
1874	140	129	128059	39.49%	majority government
1878	121	63	180074	33.05%	Cons. majority
1882	112	72	160547	31.10%	Cons. majority
1887	184	79	312736	43.13%	Cons. majority
1891	194	90	350512	45.22%	Cons. majority
1896	190	117	401425	41.37%	majority government
1900	209	128	477758	50.25%	majority government
1904	208	137	521041	50.88%	majority government
1908	213	133	570311	48.87%	majority government
1911	214	85	596871	45.82%	Cons. majority
1917 *	213	82	729756	38.80%	coalition government
1921	204	118	1285998	41.15%	majority government
1925	216	100	1252684	39.74%	minority government
1926	189	114	1294072	42.74%	majority government
1930	226	90	1716798	44.03%	Cons. majority
1935	245	173	1967839	44.68%	majority government
1940	242	179	2365979	51.32%	majority government
1945	236	117	2086545	39.78%	majority government
1949	259	190	2878097	49.15%	majority government
1953	263	169	2743013	48.62%	majority government
1957	265	105	2703687	40.91%	PC minority
1958	265	49	2444909	33.50%	PC majority
1962	264	100	2862001	37.17%	PC minority
1963	265	128	3276995	41.52%	minority government
1965	265	131	3099521	40.18%	minority government
1968	263	155	3686801	47.53%	majority government
1972	263	109	3717804	38.42%	minority government
1974	264	141	4102853	43.15%	majority government
1979	282	114	4595319	40.11%	PC minority
1980	282	147	4855425	44.40%	majority government
1984	282	40	3516486	28.02%	PC majority
1988	294	83	4205072	31.92%	PC majority
1993	295	177	5598775	41.24%	majority government
1997	301	155	4994377	38.46%	majority government
2000	301	172	5251961	40.85%	majority government
2004	308	135	4951107	36.7%	minority government
2006	308	103	4477217	30.09%	Cons. minority
2008	308	76	3629990	26.24%	Cons. minority
