New area code	Where	Affected area codes	Format	Effective date
227	Maryland	240, 301	Overlay	None
274	Wisconsin	920	Overlay	None
346	Texas	281, 713, 832	Overlay	July 1, 2014
364	Kentucky	270	Overlay	March 3, 2014
447	Illinois	217	Overlay	None
464	Illinois	708	Overlay	None
628	California	415	Overlay	None
629	Tennessee	615	Overlay	None
659	Alabama	205	Overlay	None
679	Michigan	313	Overlay	None
725	Nevada	702	Overlay	June 3, 2014
730	Illinois	618	Overlay	None
782	Nova Scotia and Prince Edward Island	902	Overlay	November 30, 2014
825	Alberta	403 , 587 , 780	Overlay	April 9, 2016
844	Toll-free	800,888,877,866,855	Overlay	December 7, 2013
930	Indiana	812	Overlay	October 6, 2014
959	Connecticut	860	Overlay	August 30, 2014
