Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	@ LA Clippers	W 102–85 (OT)	Aaron Brooks (22)	Luis Scola (7)	Aaron Brooks (5)	Staples Center 13836	10-8
19	December 3	@ Golden State	W 111–109 (OT)	Aaron Brooks (25)	Luis Scola (13)	Aaron Brooks (7)	Oracle Arena 16432	11-8
20	December 5	@ Portland	L 89–90 (OT)	Carl Landry (23)	Carl Landry (9)	Aaron Brooks (5)	Rose Garden 20555	11-9
21	December 9	Cleveland	W 95–85 (OT)	Aaron Brooks (27)	Luis Scola (10)	Aaron Brooks (6)	Toyota Center 18200	12-9
22	December 11	@ Philadelphia	W 96–91 (OT)	Carl Landry (20)	Trevor Ariza (12)	Trevor Ariza (3)	Wachovia Center 13991	13-9
23	December 13	@ Toronto	L 88–101 (OT)	Carl Landry (25)	Luis Scola (15)	Aaron Brooks (4)	Air Canada Centre 17111	13-10
24	December 15	Detroit	W 107–96 (OT)	Aaron Brooks Luis Scola (23)	Chase Budinger (12)	Aaron Brooks (10)	Toyota Center 14899	14-10
25	December 16	@ Denver	L 101–111 (OT)	Aaron Brooks (23)	David Andersen (9)	Aaron Brooks (7)	Pepsi Center 15753	14-11
26	December 18	@ Dallas	W 116–108 (OT)	Kyle Lowry (26)	Luis Scola (10)	Kyle Lowry (10)	American Airlines Center 19890	15-11
27	December 19	Oklahoma City	W 95–90 (OT)	Trevor Ariza (31)	Chuck Hayes (15)	Trevor Ariza (6)	Toyota Center 15095	16-11
28	December 22	LA Clippers	W 108–99 (OT)	Aaron Brooks (27)	Shane Battier (8)	Kyle Lowry (7)	Toyota Center 17128	17-11
29	December 23	@ Orlando	L 87–102 (OT)	Carl Landry (20)	Trevor Ariza (7)	Aaron Brooks Shane Battier (4)	Amway Arena 17461	17-12
30	December 26	@ New Jersey	W 103–98 (OT)	Carl Landry (26)	Trevor Ariza (11)	Trevor Ariza (8)	IZOD Center 13374	18-12
32	December 29	New Orleans	W 108–100 (OT)	Aaron Brooks (27)	Luis Scola (12)	Kyle Lowry (7)	Toyota Center 18187	19-13
