Tie no	Home team	Score	Away team	Attendance
1	Darlington	1 – 1	Northampton Town	2,964
replay	Northampton Town	2 – 1	Darlington	2,895
2	Hampton & Richmond Borough	0 – 3	Dagenham & Redbridge	2,252
3	Torquay United	4 – 1	Yeovil Town	3,718
4	Leyton Orient	1 – 1	Bristol Rovers	3,157
replay	Bristol Rovers	3 – 3	Leyton Orient	3,742
Bristol Rovers won 6 – 5 on penalties	Bristol Rovers won 6 – 5 on penalties	Bristol Rovers won 6 – 5 on penalties	Bristol Rovers won 6 – 5 on penalties	Bristol Rovers won 6 – 5 on penalties
5	Bury	4 – 1	Workington	2,641
6	Barnet	2 – 1	Gillingham	2,843
7	Accrington Stanley	2 – 3	Huddersfield Town	2,202
8	Barrow	1 – 1	Bournemouth	2,203
replay	Bournemouth	3 – 2	Barrow	2,969
9	Forest Green Rovers	2 – 2	Rotherham United	2,102
replay	Rotherham United	0 – 3	Forest Green Rovers	2,754
10	Southend United	2 – 1	Rochdale	5,180
11	Team Bath	0 – 2	Chasetown	2,067
12	Bradford City	1 – 0	Chester City	4,069
13	Morecambe	0 – 2	Port Vale	2,730
14	Hereford United	0 – 0	Leeds United	5,924
replay	Leeds United	0 – 1	Hereford United	11,315
15	Mansfield Town	3 – 0	Lewes	2,607
16	Gainsborough Trinity	0 – 6	Hartlepool United	2,402
17	Exeter City	4 – 0	Stevenage Borough	3,513
18	Oldham Athletic	2 – 2	Doncaster Rovers	4,280
replay	Doncaster Rovers	1 – 2	Oldham Athletic	4,340
19	Peterborough United	4 – 1	Wrexham	4,266
20	Halifax Town	0 – 4	Burton Albion	1,936
21	York City	0 – 1	Havant & Waterlooville	2,001
22	Harrogate Railway	2 – 0	Droylsden	884
23	Rushden & Diamonds	3 – 1	Macclesfield Town	1,759
24	Ware	0 – 2	Kidderminster Harriers	2,123
25	Walsall	2 – 0	Shrewsbury Town	4,972
26	Horsham	4 – 1	Maidenhead United	3,379
27	Altrincham	1 – 2	Millwall	2,457
28	Cheltenham Town	1 – 1	Brighton & Hove Albion	2,984
replay	Brighton & Hove Albion	2 – 1	Cheltenham Town	3,711
29	Stockport County	1 – 1	Staines Town	3,460
replay	Staines Town	1 – 1	Stockport County	2,860
Staines Town won 4 – 3 on penalties	Staines Town won 4 – 3 on penalties	Staines Town won 4 – 3 on penalties	Staines Town won 4 – 3 on penalties	Staines Town won 4 – 3 on penalties
30	Crewe Alexandra	2 – 1	Milton Keynes Dons	3,049
31	Lincoln City	1 – 1	Nottingham Forest	7,361
replay	Nottingham Forest	3 – 1	Lincoln City	6,783
32	Cambridge United	2 – 1	Aldershot Town	2,641
33	Notts County	3 – 0	Histon	4,344
34	Oxford United	3 – 1	Northwich Victoria	2,972
35	Billericay Town	1 – 2	Swansea City	2,334
36	Carlisle United	1 – 1	Grimsby Town	5,128
replay	Grimsby Town	1 – 0	Carlisle United	2,008
37	Eastbourne Borough	0 – 4	Weymouth	2,711
38	Chesterfield	1 – 2	Tranmere Rovers	4,296
39	Wycombe Wanderers	1 – 2	Swindon Town	3,332
40	Luton Town	1 – 1	Brentford	4,167
replay	Brentford	0 – 2	Luton Town	2,643
