#	Chief Justice	Date of birth	Appointed by	Date of appointment	Age at appointment	Date of retirement	Age at retirement	Date of death	Lifespan
1	Griffith, Samuel Samuel Griffith	1845-06-21 21 June 1845	Deakin, Alfred Deakin	5October1903	58-106 58years, 106days	17October1919	74-118 74years, 118days	1920-08-09 9 August 1920	days (75years, 49days)
2	Knox, Adrian Adrian Knox	1863-11-29 29 November 1863	Hughes, Billy Hughes	18October1919	55-323 55years, 323days	31March1930	66-122 66years, 122days	1932-04-27 27 April 1932	days (68years, 150days)
3	Isaacs, Isaac Isaac Isaacs	1855-08-06 6 August 1855	Scullin, James Scullin	2April1930	74-239 74years, 239days	21January1931	75-168 75years, 168days	1948-02-11 11 February 1948	days (92years, 189days)
4	Duffy, Frank Frank G. Duffy	1852-02-29 29 February 1852	Scullin, James Scullin	22January1931	78-327 78years, 327days	1October1935	83-214 83years, 214days	1936-07-29 29 July 1936	days (84years, 151days)
5	Latham, John John G. Latham	1877-08-26 26 August 1877	Lyons, Joseph Lyons	11October1935	58-046 58years, 46days	7April1952	74-225 74years, 225days	1964-07-25 25 July 1964	days (86years, 334days)
6	Dixon, Owen Owen Dixon	1886-04-28 28 April 1886	Menzies, Robert Menzies	18April1952	65-356 65years, 356days	13April1964	77-351 77years, 351days	1972-07-07 7 July 1972	days (86years, 70days)
7	Barwick, Garfield Garfield Barwick	1903-06-22 22 June 1903	Menzies, Robert Menzies	27April1964	60-310 60years, 310days	11February1981	77-234 77years, 234days	1997-07-14 14 July 1997	days (94years, 22days)
8	Gibbs, Harry Harry Gibbs	1917-02-17 17 February 1917	Fraser, Malcolm Fraser	12February1981	63-361 63years, 361days	5February1987	69-353 69years, 353days	2005-06-25 25 June 2005	days (88years, 128days)
9	Mason, Anthony Anthony F. Mason	1925-04-21 21 April 1925	Hawke, Bob Hawke	6February1987	61-291 61years, 291days	20April1995	69-364 69years, 364days	2014-02-1	days (88years, 286days)
10	Brennan, Gerard Gerard Brennan	1928-05-22 22 May 1928	Keating, Paul Keating	21April1995	66-334 66years, 334days	21May1998	69-364 69years, 364days	2014-02-1	days (85years, 255days)
11	Gleeson, Murray Murray Gleeson	1938-08-30 30 August 1938	Howard, John Howard	22May1998	59-265 59years, 265days	29August2008	69-365 69years, 365days	2014-02-1	days (75years, 155days)
12	French, Robert Robert French	1947-03-19 19 March 1947	Rudd, Kevin Rudd	1September2008	61-166 61years, 166days	Incumbent	00-000 Incumbent	2014-02-1	days (66years, 319days)
