Pick	Player	Position	Nationality	NHL team	College/junior/club team
53.	Brad Larsen	Left Wing	Canada	Ottawa Senators	Swift Current Broncos (WHL)
54.	Ryan Pepperall	Right Wing	Canada	Toronto Maple Leafs (from New York Islanders)	Kitchener Rangers (OHL)
55.	Mike Leclerc	Left Wing	Canada	Mighty Ducks of Anaheim	Brandon Wheat Kings (WHL)
56.	Shane Willis	Left Wing	Canada	Tampa Bay Lightning	Prince Albert Raiders (WHL)
57.	Lukas Zib	Defence	Czech Republic	Edmonton Oilers	HC České Budějovice (Czech Republic)
58.	Darryl Laplante	Centre	Canada	Detroit Red Wings (from Winnipeg)	Moose Jaw Warriors (WHL)
59.	Vladimir Tsyplakov	Left Wing	Russia	Los Angeles Kings	Fort Wayne Komets (IHL)
60.	Miloslav Guren	Defence	Czech Republic	Montreal Canadiens	RI OKNA Zlín (Czech Republic)
61.	Larry Courville	Left Wing	Canada	Vancouver Canucks (from Hartford via Chicago)	Oshawa Generals (OHL)
62.	Mike O'Grady	Defence	Canada	Florida Panthers	Lethbridge Hurricanes (WHL)
63.	Petr Buzek	Defence	Czech Republic	Dallas Stars	HC Dukla Jihlava (Czech Republic)
64.	Marko Makinen	Left Wing	Finland	San Jose Sharks	TPS (Finland)
65.	Mike Martin	Defence	Canada	New York Rangers	Windsor Spitfires (OHL)
66.	Peter Schaefer	Left Wing	Canada	Vancouver Canucks	Brandon Wheat Kings (WHL)
67.	Brad Isbister	Left Wing	Canada	Winnipeg Jets (from Toronto)	Portland Winterhawks (WHL)
68.	Mathieu Sunderland	Right Wing	Canada	Buffalo Sabres	Drummondville Voltigeurs (QMJHL)
69.	Sergei Gusev	Defence	Russia	Dallas Stars (from Washington via Winnipeg)	Mayak Samara (Russia)
70.	Sergei Vyshedkevich	Defence	Russia	New Jersey Devils	HC Dynamo Moscow (Russia)
71.	Kevin McKay	Defence	Canada	Chicago Blackhawks (from Chicago via Winnipeg)	Moose Jaw Warriors (WHL)
72.	Rocky Thompson	Right Wing	Canada	Calgary Flames	Medicine Hat Tigers (WHL)
73.	Bill McCauley	Defence	United States	Boston Bruins	Detroit Jr. Red Wings (OHL)
74.	Martin Hohenberger	Left Wing	Austria	Montreal Canadiens (from Philadelphia)	Prince George Cougars (WHL)
75.	Scott Roche	Goaltender	Canada	St. Louis Blues	North Bay Centennials (OHL)
76.	Jean-Sebastien Aubin	Goaltender	Canada	Pittsburgh Penguins	Sherbrooke Faucons (QMJHL)
77.	John Tripp	Right Wing	Canada	Colorado Avalanche	Oshawa Generals (OHL)
