Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	69	1:40:57.335	3
Giancarlo Fisichella	Benetton - Playlife	69	+16.662	4
Eddie Irvine	Ferrari	69	+1:00.059	8
Alexander Wurz	Benetton - Playlife	69	+1:03.232	11
Rubens Barrichello	Stewart - Ford	69	+1:21.513	13
Jan Magnussen	Stewart - Ford	68	+1 Lap	20
Shinji Nakano	Minardi - Ford	68	+1 Lap	18
Ricardo Rosset	Tyrrell - Ford	68	+1 Lap	22
Pedro Diniz	Arrows	68	+1 Lap	19
Jacques Villeneuve	Williams - Mecachrome	63	+6 Laps	6
Esteban Tuero	Minardi - Ford	53	Electrical	21
Damon Hill	Jordan - Mugen-Honda	42	Electrical	10
Olivier Panis	Prost - Peugeot	39	Engine	15
Heinz-Harald Frentzen	Williams - Mecachrome	20	Spun off	7
David Coulthard	McLaren - Mercedes	18	Throttle	1
Johnny Herbert	Sauber - Petronas	18	Spun off	12
Mika Salo	Arrows	18	Accident	17
Mika Häkkinen	McLaren - Mercedes	0	Gearbox	2
Ralf Schumacher	Jordan - Mugen-Honda	0	Gearbox	5
Jean Alesi	Sauber - Petronas	0	Collision	9
Jarno Trulli	Prost - Peugeot	0	Collision	14
Toranosuke Takagi	Tyrrell - Ford	0	Transmission	16
