Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2000	Formula Renault Campus France	Formula Campus	16	2	2	8	9	396	2nd
2001	Championnat de France Formule Renault 2000	ASM	8	0	2	4	3	58	9th
2002	Championnat de France FFSA de Formule Renault	ASM	8	3	2	1	4	120	1st
2002	Formula Renault 2000 Eurocup	ASM	4	0	0	0	1	36	10th
2003	Formula Three Euroseries	ASM	20	1	2	2	3	50	7th
2003	Masters of Formula 3	ASM	1	0	0	0	0	N/A	9th
2004	Formula Three Euroseries	ASM Formule 3	20	4	5	3	9	88	2nd
2004	Bahrain F3 Superprix	ASM Formule 3	1	0	0	0	0	N/A	9th
2004	Macau Grand Prix	ASM Formule 3	1	1	0	1	1	N/A	1st
2004	Masters of Formula 3	ASM Formule 3	1	1	1	0	1	N/A	1st
2005	GP2 Series	ART Grand Prix	23	2	1	3	7	67	4th
2005–06	A1 Grand Prix	A1 Team France	11	7	2	5	8	172	1st
2006	GP2 Series	ART Grand Prix	21	1	0	2	8	66	3rd
2006	Formula One	Spyker F1	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2007	Deutsche Tourenwagen Masters	Audi Sport Team Phoenix	9	0	0	2	1	13	11th
2007	24 Hours of Le Mans	Audi Sport Team Joest	1	0	0	0	0	N/A	NC
2008	Deutsche Tourenwagen Masters	Audi Sport Team Phoenix	11	0	0	0	2	10	10th
2008	Le Mans Series	Audi Sport Team Joest	5	0	0	2	4	35	1st
2008	24 Hours of Le Mans	Audi Sport Team Joest	1	0	0	0	0	N/A	4th
2009	Deutsche Tourenwagen Masters	Audi Sport Team Phoenix	10	0	0	1	1	6	13th
2009	24 Hours of Le Mans	Audi Sport Team Joest	1	0	0	0	0	N/A	17th
2010	Deutsche Tourenwagen Masters	Audi Sport Team Phoenix	10	0	1	0	1	12	11th
2011	Intercontinental Le Mans Cup	OAK Racing	3	0	0	0	1	N/A	6th
2011	24 Hours of Le Mans	Team Oreca -Matmut	1	0	0	1	0	N/A	DNF
2011	24 Hours of Nurburgring	Peugeot	1	1	0	1	1	N/A	1st
2012	International V8 Supercars Championship	Garry Rogers Motorsport	27	0	0	0	0	942	27th
2013	International V8 Supercars Championship	Garry Rogers Motorsport	21	0	0	0	0	725	17th
