Episode	Rating	Share	Viewers (millions)	Weekly Rank
"Slay Everyone, Trust No One"	8.1	13	14.15	#14
"It's Getting the Best of Me"	6.9	11	11.94	#11
"That Girl is Like a Virus"	6.7	10	11.60	#14
"Tonight, We Make Our Move"	7.2	12	12.72	#17
"Knights of the Round Table"	7.0	11	12.17	#14
"Banana Etiquette"	6.6	11	11.15	#15
"I'm Not a Good Villain"	6.7	12	11.26	#11
"Expectations"	7.3	12	12.38	#13
"Survivor History"	7.1	13	12.31	#12
"Going Down in Flames"	7.0	12	11.89	#8
"Jumping Ship"	7.6	13	12.74	#9
"A Sinking Ship"	7.7	14	13.06	#8
"Loose Lips Sink Ships"	7.7	13	13.28	#11
"Anything Could Happen"	7.2	12	13.46	#9
"The Reunion"	5.9	10	10.65	#22
