Round	Player	Position	Nationality	College/Junior/Club Team (League)
2	Greg Smyth	Defense	Canada	London Knights ( OHL )
2	Scott Mellanby	Right Wing	Canada	Henry Carr Secondary School (Toronto)
2	Jeff Chychrun	Defense	Canada	Kingston Canadians (OHL)
3	Dave McLay	Forward	Canada	Kelowna Wings ( WHL )
3	John Stevens	Defense	Canada	Oshawa Generals (OHL)
4	David Hanson	Center	United States	Grand Forks High School (N. Dakota)
5	Brian Dobbin	Right Wing	Canada	London Knights (OHL)
6	John Dzikowski	Center	Canada	Brandon Wheat Kings (WHL)
7	Tom Allen	Defense	Canada	Kitchener Rangers (OHL)
8	Luke Vitale	Forward	Canada	Henry Carr Secondary School (Toronto)
9	Billy Powers	Forward	United States	Matignon High School (Mass.)
10	Daryn Fersovich	Forward	Canada	St. Albert Saints ( AJHL )
12	Juraj Bakos	Defense	Slovakia	HC Kosice (Czech)
