Date	Opponent	Score	Loss	Attendance	Record
September 2	Athletics	5 - 2	Gonzalez (1-3)	11,143	58-79
September 3	Athletics	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4	Postponed (rain) Rescheduled for September 4
September 4	Athletics (doubleheader)	5 - 4 (10)	Devine (4-1)	12,791	59-79
September 4	Athletics (doubleheader)	9 - 6	Meyer (0-4)	12,791	60-79
September 5	Indians	9 - 3	Duckworth (2-1)	21,107	60-80
September 6	Indians	3 - 1	Jackson (0-2)	18,795	61-80
September 7	Indians	3 - 1	Greinke (10-10)	15,023	61-81
September 9	@ Twins	7 - 2	Bannister (7-15)	17,015	61-82
September 10	@ Twins	7 - 1	Davies (6-7)	20,421	61-83
September 11	@ Twins	3 - 2 (10)	Guerrier (6-8)	20,138	62-83
September 12	@ Indians	12 - 5	Meche (11-11)	32,843	62-84
September 13	@ Indians (doubleheader)	8 - 3	Carmona (8-7)	25,783	63-84
September 13	@ Indians (doubleheader)	8 - 4	Bullington (0-1)	25,783	64-84
September 14	@ Indians	13 - 3	Mujica (2-2)	29,530	65-84
September 15	Mariners	3 - 0	Silva (4-15)	10,307	66-84
September 16	Mariners	6 - 3	Morrow (2-4)	19,135	67-84
September 17	Mariners	5 - 2	Corcoran (5-2)	13,382	68-84
September 18	Mariners	12 - 0	Feierabend (1-4)	14,144	69-84
September 19	White Sox	9 - 4	Bannister (8-14)	26,049	69-85
September 20	White Sox	5 - 2	Floyd (16-8)	23,754	70-85
September 21	White Sox	3 - 0	Duckworth (3-2)	16,920	70-86
September 22	Tigers	6 - 2	Miner (8-5)	36,428	71-86
September 23	Tigers	5 - 0	García (1-1)	35,121	72-86
September 24	Tigers	10 - 4	Robertson (7-11)	35,899	73-86
September 26	@ Twins	8 - 1	Liriano (6-4)	30,674	74-86
September 27	@ Twins	4 - 2	Guerrier (6-9)	38,072	75-86
September 28	@ Twins	6 - 0	Duckworth (3-3)	42,942	75-87
