Week	Date	Opponent	Result	Attendance
1	September 3, 1995	San Diego Chargers	W 17–7	50,323
2	September 10, 1995	at Washington Redskins	W 20–8	54,548
3	September 17, 1995	at Kansas City Chiefs	L 23–17	78,696
4	September 24, 1995	Philadelphia Eagles	W 48–17	48,875
5	October 1, 1995	at New York Jets	W 47–10	68,941
6	October 8, 1995	Seattle Seahawks	W 34–14	50,213
7	October 16, 1995	at Denver Broncos	L 27–0	75,491
8	October 22, 1995	Indianapolis Colts	W 30–17	53,543
9	Bye	Bye	Bye	Bye
10	November 5, 1995	at Cincinnati Bengals	W 20–17	51,265
11	November 12, 1995	at New York Giants	W 17–13	71,160
12	November 19, 1995	Dallas Cowboys	L 34–21	54,092
13	November 27, 1995	at San Diego Chargers	L 12–6	60,607
14	December 3, 1995	Kansas City Chiefs	L 29–23	53,930
15	December 10, 1995	Pittsburgh Steelers	L 29–10	53,516
16	December 17, 1995	at Seattle Seahawks	L 44–10	58,428
17	December 24, 1995	Denver Broncos	L 31–28	50,074
