Week	Date	Opponent	Result	Attendance
1	September 6, 1981	Baltimore Colts	L 29–28	49,572
2	September 13, 1981	at Philadelphia Eagles	L 13–3	71,089
3	September 21, 1981	Dallas Cowboys	L 35–21	60,311
4	September 27, 1981	at Pittsburgh Steelers	L 27–21	53,344
5	October 4, 1981	Kansas City Chiefs	W 33–17	55,931
6	October 11, 1981	at New York Jets	L 28–24	55,093
7	October 18, 1981	Houston Oilers	W 38–10	60,474
8	October 25, 1981	at Washington Redskins	L 24–22	50,394
9	November 1, 1981	at Oakland Raiders	L 27–17	44,246
10	November 8, 1981	Miami Dolphins	L 30–27	60,436
11	November 15, 1981	New York Jets	L 17–6	45,342
12	November 22, 1981	at Buffalo Bills	L 20–17	71,593
13	November 29, 1981	St. Louis Cardinals	L 27–20	39,946
14	December 6, 1981	at Miami Dolphins	L 24–14	50,421
15	December 13, 1981	Buffalo Bills	L 19–10	42,549
16	December 20, 1981	at Baltimore Colts	L 23–21	17,073
