Day (see Irregularities )	Sunday Day One	Monday Day Two	Tuesday Day Three	Wednesday Day Four	Thursday Day Five	Friday Day Six	Saturday Day Seven
Icelandic	sunnudagur (Sun)	mánudagur (Moon)	þriðjudagur	miðvikudagur [☿1 ]	fimmtudagur	föstudagur [♀1 ]	laugardagur [♄2 ]
Hebrew	יום ראשון yom rishon	יום שני yom sheyni	יום שלישי yom shlishi	יום רביעי yom revi'i	יום חמישי yom khamishi	יום שישי yom shishi	יום שבת yom Shabbat [♃1 ]
Ecclesiastical Latin	Dominica [☉1 ]	feria secunda	feria tertia	feria quarta	feria quinta	feria sexta	sabbatum [♄1 ]
Portuguese	domingo [☉1 ]	segunda-feira	terça-feira	quarta-feira	quinta-feira	sexta-feira	sábado [♄1 ]
Greek	Κυριακή Kyriakí [☉1 ]	Δευτέρα Deftéra	Τρίτη Tríti	Τετάρτη Tetárti	Πέμπτη Pémpti	Παρασκευή Paraskeví [♀2 ]	Σάββατο Sávato [♄1 ]
Georgian	კვირა k'vira	ორშაბათი oršabati	სამშაბათი samšabati	ოთხშაბათი otxšabati	ხუთშაბათი xutšabati	პარასკევი p'arask'evi	შაბათი šabati
Armenian	Կիրակի Kiraki [☉1 ]	Երկուշաբթի Yerkushabti	Երեքշաբթի Yerekshabti	Չորեքշաբթի Chorekshabti	Հինգշաբթի Hingshabti	Ուրբաթ Urbat	Շաբաթ Shabat [♄1 ]
Vietnamese	chủ nhật or chúa nhật [☉1 ]	(ngày) thứ hai	(ngày) thứ ba	(ngày) thứ tư	(ngày) thứ năm	(ngày) thứ sáu	(ngày) thứ bảy
Somali	Axad	Isniin	Talaado	Arbaco	Khamiis	Jimco	Sabti
Amharic	እሑድ əhud	ሰኞ säñño (Next)	ማክሰኞ maksäñño	ረቡዕ, ሮብ räbu, rob	ሐሙስ hamus	ዓርብ arb (Sunset)	ቅዳሜ ḳədame (First)
Arabic	يوم) الأحد) (yawm) al-aḥad	يوم) الإثنين) (yawm) al-ithnayn	يوم) الثُّلَاثاء) (yawm) ath-thulathā’	يوم) الأَرْبعاء) (yawm) al-’arbi‘ā’	يوم) الخَمِيس) (yawm) al-khamīs	يوم) الجُمْعَة) (yawm) al-jum‘ah [♀4 ]	يوم) السَّبْت) (yawm) as-sabt [♄5 ]
Maltese	Il-Ħadd	It-Tnejn	It-Tlieta	L-Erbgħa	Il-Hamis	Il-Gimgħa [♀4 ]	Is-Sibt [♄5 ]
Malay	Ahad	Isnin	Selasa	Rabu	Khamis	Jumaat [♀4 ]	Sabtu [♄5 ]
Indonesian	Minggu [☉1 ] (Portuguese)	Senin	Selasa	Rabu	Kamis	Jumat [♀4 ]	Sabtu [♄5 ]
Sundanese	Minggu / Minggon	Senén	Salasa	Rebo	Kemis	Jumaah [♀4 ]	Saptu [♄5 ]
Persian	یکشنبه yekshanbe	دوشنبه doshanbe	سه شنبه seshanbe	چهارشنبه chahârshanbe	پنجشنبه panjshanbe	آدینه âdineh [♀3 ] or جمعه jome [♀4 ]	شنبه shanbe (Night & Day) shabâne ruz
Khowar	یک شمبے yak shambey	دو شمبے [☽4 ] du shambey	سہ شمبے sey shambey	چار شمبے char shambey	پچھمبے pachhambey	آدینہ [♀3 ] adina	شمبے shambey
Kurdish	Yekşem ( ku )	Duşem ( ku )	Sêşem ( ku )	Çarşem ( ku )	Pêncşem ( ku )	În ( ku )	Şemî ( ku )
