Place	Player	Country	Score	To par
T1	Scott Simpson	United States	70-68-72=210	–6
T1	Payne Stewart	United States	67-70-73=210	–6
T3	Scott Hoch	United States	69-71-74=214	–2
T3	Nick Price	Zimbabwe	74-69-71=214	–2
T5	Fred Couples	United States	70-70-75=215	–1
T5	Nolan Henke	United States	67-71-77=215	–1
T5	Brian Kamm	United States	69-73-73=215	–1
T8	Rick Fehr	United States	74-69-73=216	E
T8	Hale Irwin	United States	71-75-70=216	E
T8	Sandy Lyle	Scotland	72-70-74=216	E
T8	Craig Parry	Australia	70-73-73=216	E
