Nat.	Name	Since	Goals	Ends	Transfer fee
ENG	Collis	2008	0	30 June 2010	Free
ENG	Woodards	2007	0	30 June 2010	£30,000
ENG	Jones	2007	0	30 June 2010	£65,000
ENG	Schumacher	2007	1	30 June 2010	Free
FRA	Baudet	2006	2	30 June 2009	Free
DEU	Bopp	2007	1	30 June 2010	Free
NIR	O'Connor	2005	1	30 June 2010	Youth system
ENG	Elding	2008	0	30 June 2011	Undisclosed
COD	Zola	2008	0	30 June 2011	£200,000
ENG	Grant	2008	0	30 June 2011	£130,000
ENG	Rix	2001	4	30 June 2009	Youth system
ENG	Legzdins	2008	0	30 June 2010	Free
ENG	McCready	2007	2	30 June 2009	Free
NGR	Abbey	2007	0	30 June 2010	Free
ENG	Livermore	2008	0	11 January 2009	Loan
ENG	Moore	2007	2	30 June 2010	Youth system
ENG	Carrington	2005	0	30 June 2009	Youth system
ENG	Pope	2005	7	30 June 2009	Free
ENG	Miller	2006	4	30 June 2011	Youth system
ENG	Tomlinson	2001	0	30 June 2009	Youth system
ENG	Daniel	2007	0	30 June 2009	Free
ENG	Bailey	2007	0	30 June 2009	Youth system
ENG	Roberts	2004	11	30 June 2009	Youth system
ENG	Clements	2008	0	30 June 2009	Youth system
ENG	Danville	2008	0	30 June 2009	Youth system
ENG	Leitch-Smith	2008	0	30 June 2009	Youth system
ENG	Murphy	2008	0	30 June 2009	Youth system
ENG	O'Donnell	2007	2	30 June 2010	£100,000
ENG	Thompson	2008	0	30 June 2009	Youth system
ENG	Westwood	2008	0	30 June 2009	Youth system
