Place	Player	Country	Score	To par	Money ( $ )
T1	Chris DiMarco	United States	67-67-74-68=276	–12	Playoff
T1	Tiger Woods	United States	74-66-65-71=276	–12	Playoff
T3	Luke Donald	England	68-77-69-69=283	–5	406,000
T3	Retief Goosen	South Africa	71-75-70-67=283	–5	406,000
T5	Mark Hensby	Australia	69-73-70-72=284	–4	237,300
T5	Trevor Immelman	South Africa	73-73-65-73=284	–4	237,300
T5	Rod Pampling	Australia	73-71-70-70=284	–4	237,300
T5	Vijay Singh	Fiji	68-73-71-72=284	–4	237,300
T5	Mike Weir	Canada	74-71-68-71=284	–4	237,300
10	Phil Mickelson	United States	70-72-69-74=285	–3	189,000
