Device	Device type	Capacity [MB]	Avg seek time [ms]	Avg rotational delay [ms]	Avg transfer rate [kB/s]
3214	RAD	2.75	N/A	8.5	647
7202	RAD	.7	N/A	17	166
7203	RAD	1.4	N/A	17	166
7204	RAD	2.8	N/A	17	166
7232	RAD	6.0	N/A	17	355
3231	Cartridge disk	2.4removable	38	12.5	246
3232	Cartridge disk	4.9removable	38	12.5	246
3233	Cartridge disk	4.9 fixed 4.9removable	38	12.5	246
3242	Cartridge disk	5.7removable	38	12.5	286
3243	Cartridge disk	5.7 fixed 5.7removable	38	12.5	286
7251	Cartridge disk	2.3removable	38	12.5	225
7252	Cartridge disk	2.3 fixed 2.3removable	38	12.5	225
3277	Removable disk	95	30	8.3	787
7271	Removable disk	46.8	35	12.5	245
