Name	Nationality	Position [F ]	Date from [G ]	Date to [H ]	Appearances	Goals	Club source [I ]
James McMillan Category:Articles with hCards	Scotland Scotland	Defender	1884	1886	5	0	1 [ dead link ]
Will Gibson Category:Articles with hCards	Scotland Scotland	Midfielder	1888	1896	102	7	2 [ dead link ]
Thomas Porteous Category:Articles with hCards	England England	Defender	1889	1894	93	0	3 [ dead link ]
Ned Doig Category:Articles with hCards	Scotland Scotland	Goalkeeper	1890	1904	456	0	4 [ dead link ]
James Gillespie Category:Articles with hCards	Scotland Scotland	Forward	1890 1891	1892 1897	148	52	5 [ dead link ]
John Auld Category:Articles with hCards	Scotland Scotland	Defender	1890	1895	115	15	6 [ dead link ]
John Scott Category:Articles with hCards	Scotland Scotland	Forward	1890	1896	113	29	7 [ dead link ]
Johnny Campbell Category:Articles with hCards	Scotland Scotland	Forward	1890	1897	215	151	8 [ dead link ]
John Harvey Category:Articles with hCards	Scotland Scotland	Midfielder	1890	1897	108	12	9 [ dead link ]
Jimmy Millar Category:Articles with hCards	Scotland Scotland	Forward	1890 1900	1896 1904	260	122	10 [ dead link ]
Hughie Wilson Category:Articles with hCards	Scotland Scotland	Midfielder	1890	1899	258	46	11 [ dead link ]
Donald Gow Category:Articles with hCards	Scotland Scotland	Defender	1891 1893	1892 1897	113	1	12 [ dead link ]
Jimmy Hannah Category:Articles with hCards	Scotland Scotland	Midfielder	1891	1897	172	78	13 [ dead link ]
Billy Dunlop Category:Articles with hCards	Scotland Scotland	Defender	1893	1898	146	6	14 [ dead link ]
Robert McNeill Category:Articles with hCards	Scotland Scotland	Defender	1894	1900	157	0	15 [ dead link ]
Matthew Ferguson Category:Articles with hCards	Scotland Scotland	Defender	1896	1902	182	5	16 [ dead link ]
Sandy McAllister Category:Articles with hCards	Scotland Scotland	Defender	1897	1904	223	5	17 [ dead link ]
Colin McLatchie Category:Articles with hCards	Scotland Scotland	Midfielder	1898	1902	129	32	18 [ dead link ]
Dick Jackson Category:Articles with hCards	England England	Defender	1898	1905	167	10	19 [ dead link ]
James Farquhar Category:Articles with hCards	Scotland Scotland	Midfielder	1899	1907	196	18	20 [ dead link ]
Andrew McCombie Category:Articles with hCards	Scotland Scotland	Defender	1899	1904	164	6	21 [ dead link ]
Billy Hogg Category:Articles with hCards	England England	Forward	1899	1909	302	86	22 [ dead link ]
Alf Common Category:Articles with hCards	England England	Forward	1900 1901	1904 1905	43	11	23 [ dead link ]
Jimmy Watson Category:Articles with hCards	Scotland Scotland	Defender	1900	1907	225	0	24 [ dead link ]
Jimmy Gemmell Category:Articles with hCards	England England	Forward	1900	1912	228	46	25 [ dead link ]
Dusty Rhodes Category:Articles with hCards	England England	Defender	1902	1908	119	5	26 [ dead link ]
Arthur Bridgett Category:Articles with hCards	England England	Forward	1902	1912	347	116	27 [ dead link ]
George Holley Category:Articles with hCards	England England	Forward	1904	1919	316	155	28 [ dead link ]
Tommy Tait Category:Articles with hCards	Scotland Scotland	Defender	1906	1912	195	3	29 [ dead link ]
Henry Forster Category:Articles with hCards	England England	Defender	1907	1911	112	0	30 [ dead link ]
Gavin Jarvie Category:Articles with hCards	England England	Defender	1907	1911	102	0	31 [ dead link ]
Harry Low Category:Articles with hCards	Scotland Scotland	Midfielder	1907	1915	227	37	32 [ dead link ]
Albert Milton Category:Articles with hCards	England England	Defender	1908	1914	139	0	33 [ dead link ]
Charles Thomson Category:Articles with hCards	Scotland Scotland	Defender	1908	1915	264	8	34 [ dead link ]
Billy Troughear Category:Articles with hCards	England England	Defender	1909	1912	108	0	35 [ dead link ]
Jackie Mordue Category:Articles with hCards	England England	Forward	1908	1920	294	80	36 [ dead link ]
Francis Cuggy Category:Articles with hCards	England England	Midfielder	1909	1921	189	4	37 [ dead link ]
Harry Ness Category:Articles with hCards	England England	Defender	1911	1919	102	0	38 [ dead link ]
