Round	Date	Grand Prix	Circuit	125cc winner	250cc winner	MotoGP winner	Report
1	12–13 April	Qatar Grand Prix ‡	Losail	Andrea Iannone	Héctor Barberá	Casey Stoner	Report
2	26 April	Japanese Grand Prix	Motegi	Andrea Iannone	Álvaro Bautista	Jorge Lorenzo	Report
3	3 May	Spanish Grand Prix	Jerez	Bradley Smith	Hiroshi Aoyama	Valentino Rossi	Report
4	17 May	French Grand Prix	Le Mans	Julián Simón	Marco Simoncelli	Jorge Lorenzo	Report
5	31 May	Italian Grand Prix	Mugello	Bradley Smith	Mattia Pasini	Casey Stoner	Report
6	14 June	Catalan Grand Prix	Catalunya	Andrea Iannone	Álvaro Bautista	Valentino Rossi	Report
7	27 June	Dutch TT	Assen	Sergio Gadea	Hiroshi Aoyama	Valentino Rossi	Report
8	5 July	United States Grand Prix	Laguna Seca	No 125cc and 250cc race	No 125cc and 250cc race	Dani Pedrosa	Report
9	19 July	German Grand Prix	Sachsenring	Julián Simón	Marco Simoncelli	Valentino Rossi	Report
10	26 July	British Grand Prix	Donington	Julián Simón	Hiroshi Aoyama	Andrea Dovizioso	Report
11	16 August	Czech Republic Grand Prix	Brno	Nicolás Terol	Marco Simoncelli	Valentino Rossi	Report
12	30 August	Indianapolis Grand Prix	Indianapolis	Pol Espargaró	Marco Simoncelli	Jorge Lorenzo	Report
13	6 September	San Marino Grand Prix	Misano	Julián Simón	Héctor Barberá	Valentino Rossi	Report
14	4 October	Portuguese Grand Prix	Estoril	Pol Espargaró	Marco Simoncelli	Jorge Lorenzo	Report
15	18 October	Australian Grand Prix	Phillip Island	Julián Simón	Marco Simoncelli	Casey Stoner	Report
16	25 October	Malaysian Grand Prix	Sepang	Julián Simón	Hiroshi Aoyama	Casey Stoner	Report
