Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1987	1	0	1	1	0	21.0	5.0	$1,825	83rd	Ken Schrader Racing
1988	10	0	2	3	0	16.3	20.1	$45,175	33rd	Ken Schrader Racing
1989	11	1	1	6	1	14.3	17.6	$27,577	32nd	Ken Schrader Racing Hendrick Motorsports
1990	11	0	1	2	0	20.2	24.1	$22,860	37th	Ken Schrader Racing
1991	10	0	4	5	0	14.0	16.3	$57,345	35th	Ken Schrader Racing Darrell Waltrip Motorsports
1992	10	0	2	6	0	18.8	11.9	$48,352	29th	Ken Schrader Racing Ernie Irvan Racing
1993	9	0	2	3	1	9.0	15.8	$65,628	35th	Ken Schrader Racing
1994	10	1	3	3	0	20.5	18.2	$68,700	38th	Ken Schrader Racing
1995	9	0	2	4	0	25.8	18.8	$66,605	40th	Ken Schrader Racing
1998	10	0	0	3	0	20.7	22.0	$68,920	46th	Andy Petree Racing
1999	12	0	0	3	3	12.1	19.8	$148,480	42nd	Andy Petree Racing
2000	1	0	0	0	0	38.0	43.0	$15,000	117th	Team Amick Motorsports
2001	1	0	0	0	0	11.0	39.0	$13,320	139th	Ken Schrader Racing
2002	2	0	0	0	0	27.5	38.0	$31,000	98th	Ken Schrader Racing
2006	8	0	0	0	0	21.5	26.8	$197,127	59th	Brewco Motorsports
