Title	Directed by	Written by	Original air date	Production code
" Park City "	Don Colliver	Peter Field Rachael Ray	August20,2004	AD1C02
" Grand Canyon "	Don Colliver	Peter Field Rachael Ray	August27,2004	AD1C04
" Durham "	Don Colliver	Peter Field Rachael Ray	August29,2004	AD1C08
"Las Vegas"	Don Colliver	Peter Field Rachael Ray	September10,2004	AD1C05
" Bermuda "	Don Colliver	Peter Field Rachael Ray	September24,2004	AD1C06
" Sun Valley "	Don Colliver	Peter Field Rachael Ray	October15,2004	AD1C01
" Chattanooga "	Don Colliver	Peter Field Rachael Ray	October29,2004	AD1C10
" Hilton Head "	Don Colliver	Peter Field Rachael Ray	November12,2004	AD1C07
" Asheville "	Don Colliver	Peter Field Rachael Ray	November19,2004	AD1C09
" Telluride "	Don Colliver	Peter Field Rachael Ray	November26,2004	AD1C03
" Newport "	Don Colliver	Peter Field Rachael Ray	December17,2004	AD1C12
" Martha's Vineyard "	Don Colliver	Peter Field Rachael Ray	January7,2005	AD1C13
" The Hamptons "	Don Colliver	Peter Field Rachael Ray	April22,2005	AD1C11
