No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
27	1	"True Concert"	Gary Halvorson	Dan Kopelman	November14,2009	204	3.8
30	4	"True Parade"	Gary Halvorson	Andy Gordon	December12,2009	210	N/A
31	5	"True Drama"	Roger Christiansen	Steve Joe	January9,2010	211	3.3
32	6	"My Boss Ate My Homework"	Roger Christiansen	Diana Sproveri	January16,2010	203	N/A
33	7	"Little Buddies"	Adam Weissman	Sib Ventress	January30,2010	208	N/A
34	8	"True Valentine"	Gary Halvorson	Sebastian Jones	February6,2010	206	N/A
35	9	"True Date"	Dennie Gordon	Steve Joe	February20,2010	212	N/A
36	10	"The Hunky Librarian"	Roger Christiansen	Sarah Jane Cunningham & Suzie V. Freeman	March13,2010	209	N/A
37	11	"Saving Snackleberry"	Roger Christiansen	Stacey Cantwell	March20,2010	213	N/A
38	12	"Pajama Party"	Gary Halvorson	Steve Joe	April3,2010	207	N/A
39	13	"The Gift"	Roger Christiansen	Andy Gordon	April17,2010	205	N/A
40	14	"True Royal"	Roger Christiansen	Sarah Jane Cunningham & Suzie V. Freeman	May1,2010	214	3.7
41	15	"True Fear"	Gary Halvorson	Sib Ventress	May8,2010	216	N/A
42	16	"The Reject Room"	Gary Halvorson	Dan Kopelman	May15,2010	215	N/A
43–44	17–18	"Mission Gone Bad" "Trapped in Paris"	Gary Halvorson	Andy Gordon	May22,2010	218–219	3.4
45	19	"Heatwave"	Gregg Heschong	Steve Joe	June26,2010	217	N/A
