Tournament	2007	2008	2009	2010	2011
Australian Open	A	2R	A	1R	1R
French Open	2R	2R	2R	2R	A
Wimbledon	1R	2R	2R	1R	A
US Open	1R	3R	2R	1R	A
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	A	A	A	A	A
WTA Premier Mandatory tournaments	WTA Premier Mandatory tournaments	WTA Premier Mandatory tournaments	WTA Premier Mandatory tournaments	WTA Premier Mandatory tournaments	WTA Premier Mandatory tournaments
Indian Wells	A	A	2R	1R	2R
Miami	A	1R	A	4R	2R
Madrid	Not Held	Not Held	A	LQ	A
Beijing	No Tier I	No Tier I	A	QF	A
WTA Premier 5 tournaments	WTA Premier 5 tournaments	WTA Premier 5 tournaments	WTA Premier 5 tournaments	WTA Premier 5 tournaments	WTA Premier 5 tournaments
Dubai	A	LQ	A	1R	2R
Rome	A	LQ	A	2R	A
Cincinnati	A	A	A	A	A
Montreal/Toronto	A	A	A	2R	A
Tokyo	A	A	A	1R	A
