Driver	Team	Laps	Time/Retired	Grid	Points
Oriol Servià	Newman/Haas Racing	79	1:59:10.516	2	32
Timo Glock	Rocketsports Racing	79	+1.000 secs	11	29
Justin Wilson	RuSPORT	79	+1.416 secs	3	25
Sébastien Bourdais	Newman/Haas Racing	79	+1.637 secs	1	27
Alex Tagliani	Team Australia	79	+3.221 secs	6	21
Cristiano da Matta	PKV Racing	79	+4.452 secs	8	19
Jimmy Vasser	PKV Racing	79	+5.311 secs	9	17
Paul Tracy	Forsythe Racing	79	+6.672 secs	5	15
A. J. Allmendinger	RuSPORT	79	+7.213 secs	4	13
Mario Domínguez	Forsythe Racing	79	+7.678 secs	7	11
Andrew Ranger	Mi-Jack Conquest Racing	79	+12.614 secs	14	10
Ryan Hunter-Reay	Rocketsports Racing	79	+14.154 secs	13	9
Björn Wirdheim	HVM Racing	79	+16.104 secs	15	8
Rodolfo Lavín	HVM Racing	79	+16.975 secs	12	7
Nelson Philippe	Mi-Jack Conquest Racing	79	+45.359 secs	10	6
Marcus Marshall	Team Australia	78	+ 1 Lap	18	5
Ronnie Bremer	Dale Coyne Racing	78	+ 1 Lap	17	4
Ricardo Sperafico	Dale Coyne Racing	55	Contact	16	3
