Tie no	Home team	Score	Away team	Date
1	Enfield	4–1	Wimbledon	15 December 1981
2	Chesterfield	0–1	Huddersfield Town	12 December 1981
3	Barnet	2–0	Wycombe Wanderers	15 December 1981
4	Bristol City	3–0	Northampton Town	15 December 1981
5	Bury	1–1	Burnley	2 January 1982
Replay	Burnley	2–1	Bury	4 January 1982
6	Dorchester Town	1–1	Bournemouth	12 December 1981
Replay	Bournemouth	2–1	Dorchester Town	15 December 1981
7	Gillingham	1–1	Barking	15 December 1981
Replay	Gillingham	3–1	Barking	2 January 1982
8	Crewe Alexandra	1–3	Scunthorpe United	2 January 1982
9	Swindon Town	2–1	Sutton United	15 December 1981
10	Doncaster Rovers	3–0	Penrith	12 December 1981
11	Brentford	1–1	Colchester United	16 December 1981
Replay	Colchester United	1–0	Brentford	30 December 1981
12	Hull City	2–0	Hartlepool United	4 January 1982
13	Carlisle United	1–0	Bishop Auckland	9 January 1982
14	Port Vale	4–1	Stockport County	2 January 1982
15	York City	0–0	Altrincham	12 December 1981
Replay	Altrincham	4–3	York City	2 January 1982
16	Hereford United	1–0	Fulham	2 January 1982
17	Kettering Town	0–3	Blackpool	2 January 1982
18	Aldershot	2–2	Oxford United	15 December 1981
Replay	Oxford United	4–2	Aldershot	30 December 1981
19	Peterborough United	2–1	Walsall	2 January 1982
20	Dagenham	1–2	Millwall	30 December 1981
