County	Year Founded	County Seat	2010 Census Population	July 1, 2012 Population Estimate.	Area (Sq. Mi.)	Land Area (Sq. Mi.)
Abbeville County	1785	Abbeville	25,417	25,101	511	508
Anderson County	1826	Anderson	187,126	189,355	757	718
Cherokee County	1897	Gaffney	55,342	55,662	397	393
Greenville County	1786	Greenville	451,225	467,605	795	790
Greenwood County	1897	Greenwood	69,835	69,756	463	456
Laurens County	1785	Laurens	66,537	66,223	724	715
Oconee County	1868	Walhalla	74,275	74,627	674	625
Pickens County	1868	Pickens	119,224	119,670	512	497
Spartanburg County	1785	Spartanburg	284,307	288,745	819	811
Union County	1798	Union	28,961	28,252	516	514
Total	Total	Total	1,362,073	1,384,996	6,168	6,027
