Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Colne Dynamoes	34	7	3	71	14	+57	55
2	Rossendale United	34	7	3	68	23	+45	55
3	Clitheroe	34	10	6	51	20	+31	46
4	Colwyn Bay	34	7	7	60	42	+18	46 2
5	St Helens Town	34	6	10	61	36	+25	42
6	Ellesmere Port & Neston	34	5	12	55	48	+7	39
7	Darwen	34	10	10	55	45	+10	38
8	Warrington Town	34	5	13	68	47	+21	37
9	Kirkby Town	34	13	10	57	54	+3	35
10	Burscough	34	7	13	45	51	−6	35
11	Leyland Motors	34	11	13	53	53	0	31
12	Prescot Cables	34	11	13	34	45	−11	29 2
13	Bootle	34	5	17	43	61	−18	29
14	Formby	34	10	18	32	63	−31	22
15	Salford	34	6	20	33	66	−33	22
16	Skelmersdale United	34	11	19	34	64	−30	19
17	Atherton Laburnum Rovers	34	7	23	31	78	−47	15
18	Glossop	34	4	25	30	71	−41	14
